pilot_id,split,title,n_tokens_prefix,n_tokens_prefix_27b,sents_kept/total,truncated,cut_moved,n_entities,n_relations,n_relations_stated,entity_types,final_word
0,dev,Vesper sparrow,216,216,12/12,0,0,5,8,0,LOC:3 MISC:2,loss
1,dev,"Clark Lake (Gogebic County, Michigan)",208,208,9/9,0,0,11,25,21,LOC:8 NUM:3,species
2,dev,Kahului Airport,216,216,5/5,0,0,23,44,34,LOC:9 MISC:4 NUM:2 ORG:2 PER:1 TIME:5,facility
3,dev,Wolfgang Thüne,174,170,7/7,0,0,15,12,6,LOC:4 MISC:2 NUM:1 ORG:1 PER:2 TIME:5,club
4,dev,The Horn Blows at Midnight,226,226,6/6,0,0,14,21,10,LOC:2 MISC:4 PER:5 TIME:3,hit
5,dev,Wayne Gretzky Drive,210,210,6/6,0,0,21,57,30,LOC:17 ORG:2 PER:1 TIME:1,Drive
6,dev,The Sound Barrier,164,163,6/6,0,0,13,13,11,LOC:2 MISC:2 ORG:2 PER:5 TIME:2,created
7,dev,Edward Rowan Finnegan,305,305,12/12,0,0,23,50,28,LOC:5 ORG:8 PER:2 TIME:8,1971
8,dev,Frédéric Talgorn,190,188,7/7,0,0,21,29,22,LOC:4 MISC:6 ORG:2 PER:3 TIME:6,Orchestra
9,dev,Holmenkollen Ski Museum,235,235,11/11,0,0,17,32,20,LOC:8 ORG:1 PER:3 TIME:5,Park
10,dev,Ninety-Two Resolutions,402,400,14/14,0,0,25,46,10,LOC:4 MISC:4 NUM:2 ORG:6 PER:2 TIME:7,Rebellion
11,dev,Mess of Blues (Jeff Healey album),156,156,6/6,0,0,20,18,5,LOC:3 MISC:2 NUM:3 ORG:3 PER:6 TIME:3,Presley
12,dev,Committee against the Finnish White Terror,214,213,8/8,0,0,17,24,6,LOC:4 MISC:3 NUM:6 ORG:2 PER:1 TIME:1,organized
13,dev,Shiba Tōshō-gū,269,267,6/6,0,0,22,13,7,LOC:10 MISC:2 NUM:2 ORG:3 PER:3 TIME:2,Shrine
14,dev,Portugal no coração,220,218,8/8,0,1,20,31,16,LOC:5 MISC:7 NUM:1 ORG:1 PER:4 TIME:2,with
15,dev,Hong Kong Chinese official football team,236,236,7/7,0,0,25,36,8,LOC:7 MISC:1 ORG:9 PER:1 TIME:7,1959
16,dev,Parvathy Jayaram,262,258,10/10,0,0,27,42,30,LOC:4 MISC:9 NUM:1 PER:6 TIME:7,Jayaram
17,dev,Zarir,180,180,7/7,0,1,12,35,25,LOC:2 MISC:1 PER:8 TIME:1,and
18,dev,Master Chief (Halo),292,291,10/10,0,0,14,36,9,LOC:1 MISC:6 ORG:1 PER:6,role
19,dev,Lisa Mona Lisa,179,177,7/7,0,1,18,19,8,LOC:3 MISC:8 NUM:1 ORG:2 PER:3 TIME:1,singing
20,eval,Church of Saint Francis of Assisi (Ouro Preto),194,186,7/7,0,0,13,13,6,LOC:4 MISC:1 ORG:2 PER:3 TIME:3,List
21,eval,Chapel of St. Francis of Assisi (Esperanza Base),150,147,6/6,0,0,14,30,18,LOC:7 NUM:1 ORG:3 PER:2 TIME:1,ceremony
22,eval,CKNL-FM,204,204,6/6,0,0,19,58,40,LOC:7 MISC:1 NUM:4 ORG:5 TIME:2,station
23,eval,Joseph Octave Mousseau,229,230,10/10,0,0,24,27,5,LOC:7 NUM:1 ORG:3 PER:8 TIME:5,assembly
24,eval,Francesco De Masi,358,348,12/12,0,0,21,19,11,LOC:2 MISC:2 NUM:2 ORG:3 PER:10 TIME:2,75
25,eval,Faliero coup,453,449,13/15,1,0,20,30,1,LOC:7 MISC:1 NUM:4 ORG:3 PER:4 TIME:1,rumors
26,eval,Oakland/Troy Airport,223,221,7/7,0,0,18,38,29,LOC:11 MISC:1 NUM:1 ORG:2 TIME:3,field
27,eval,Clandestine literature,502,498,13/14,1,0,27,13,3,LOC:9 MISC:9 PER:4 TIME:5,abroad
28,eval,Santa Elena de Uairén,247,243,8/8,0,0,22,42,25,LOC:15 MISC:2 NUM:1 PER:2 TIME:2,Belém
29,eval,National Integrated Ballistic Information Network,172,172,7/7,0,0,8,5,1,LOC:2 MISC:2 NUM:4,NIBIN
30,eval,Eivind Bolle,248,246,9/9,0,0,26,36,14,LOC:4 NUM:2 ORG:6 PER:4 TIME:10,1974
31,eval,The Longest Daycare,267,267,10/10,0,0,22,62,34,LOC:1 MISC:6 ORG:1 PER:10 TIME:4,Paperman
32,eval,Demonstration (Tinie Tempah album),235,235,9/9,0,0,17,21,11,LOC:1 MISC:8 NUM:1 ORG:1 PER:3 TIME:3,2014
