pilot_id,split,cos_z,fve_z,n_chars
0,dev,0.961507205336478,0.7758346466860112,934
1,dev,0.9632354235735836,0.785899040687821,969
2,dev,0.937791318442546,0.6377235998990944,980
3,dev,0.9452799688332187,0.6813342541876207,879
4,dev,0.9627785814978457,0.783238590434425,921
5,dev,0.9350431693358445,0.6217195705515692,921
6,dev,0.9445641796252136,0.6771658080637835,942
7,dev,0.9275265232418929,0.5779458814205054,787
8,dev,0.9474092216078098,0.6937340995270739,1035
9,dev,0.9567782200857337,0.7482950861314654,992
10,dev,0.9405626389611155,0.653862569506831,911
11,dev,0.9299823722164287,0.592247681481396,799
12,dev,0.9614422658647335,0.775456467347387,1000
13,dev,0.9462916089468602,0.6872256077638768,878
14,dev,0.9535007242278326,0.7292083707242372,929
15,dev,0.9491535038338342,0.7038920432382021,850
16,dev,0.934166923803396,0.6166166963360667,814
17,dev,0.9645092746392901,0.7933173972064792,904
18,dev,0.9603156051122174,0.7688952834203568,949
19,dev,0.9628344523284408,0.7835639579373506,827
20,eval,0.9476709039062239,0.695258023819731,933
21,eval,0.9477804854402404,0.6958961791811233,977
22,eval,0.9256365973057753,0.5669397718638887,887
23,eval,0.9433489612899161,0.6700889031555579,845
24,eval,0.9544997629382189,0.7350263391893932,757
