cohort,type,truth,n,documents,fve_z,fve_z_ci95_low,fve_z_ci95_high,fve_del,fve_del_ci95_low,fve_del_ci95_high,fve_heavy,fve_heavy_ci95_low,fve_heavy_ci95_high,deletion_drop,deletion_drop_ci95_low,deletion_drop_ci95_high,paraphrase_drop,paraphrase_drop_ci95_low,paraphrase_drop_ci95_high,P_heavy,P_heavy_ci95_low,P_heavy_ci95_high
unfiltered,all,true,863,100,68.1718825288178,67.3869900310373,68.95677502659831,64.02445401710034,62.62598448218261,65.42292355201808,68.08374595979993,67.29911658337679,68.86837533622307,4.147428511717466,2.968322603630506,5.326534419804426,0.08813656901786987,-0.006106467120563688,0.18237960515630341,4.059291942699596,2.8989154214815827,5.219668463917609
unfiltered,all,false,445,99,67.19812865479744,66.06918708423873,68.32707022535615,64.54201156206696,62.898736742271176,66.18528638186275,66.99629406094738,65.84355317255549,68.14903494933927,2.65611709273048,1.457106945487663,3.8551272399732968,0.20183459385005398,-0.1385475785382368,0.5422167662383448,2.4542824988804246,1.3553333135760703,3.553231684184779
unfiltered,theme,true,416,100,68.71032170053226,67.62836365785282,69.79227974321171,68.54421412163182,67.4559321550032,69.63249608826045,68.79234793950512,67.71783336777749,69.86686251123275,0.1661075789004419,0.038289484720436306,0.2939256730804475,-0.08202623897284048,-0.144059972064318,-0.01999250588136295,0.24813381787328168,0.0983373791194713,0.397930256627092
unfiltered,theme,false,36,23,65.47180312944154,59.45673363455338,71.48687262432969,65.33622463920995,59.32962473752103,71.34282454089886,65.61984437869988,59.68589248708445,71.5537962703153,0.13557849023158638,-0.11878675376233797,0.38994373422551076,-0.1480412492583388,-0.31371442597788923,0.017631927461211644,0.28361973948992286,-0.046129127529872416,0.6133686065097181
unfiltered,entity,true,14,14,66.84011392273575,60.90632627838437,72.77390156708714,47.0151902764287,30.742830239245396,63.287550313612,66.0256783760845,60.196800722124884,71.85455603004411,19.824923646307045,2.225339195155982,37.42450809745811,0.8144355466512498,-0.26958975056057666,1.8984608438630763,19.010488099655788,1.6526441371791947,36.36833206213238
unfiltered,entity,false,167,82,66.25141152416947,64.39785893472099,68.10496411361795,62.67335644466982,59.73979469504792,65.60691819429172,65.72388948270375,63.75743172568712,67.6903472397204,3.578055079499645,1.1936170580700431,5.9624931009292474,0.5275220414656976,-0.3583554479528508,1.413399530884246,3.050533038033946,1.023442147501565,5.077623928566327
unfiltered,detail,true,433,100,67.69764249429569,66.54423714779651,68.85104784079488,60.23209717849594,57.77417055899093,62.69002379800095,67.46950698200469,66.31156015394772,68.62745381006165,7.465545315799749,5.250004323065361,9.681086308534137,0.22813551229100654,0.054775566829200595,0.4014954577528125,7.237409803508741,5.055033088996861,9.41978651802062
unfiltered,detail,false,242,91,68.10825047185399,66.73972624759492,69.47677469611307,65.71339062747263,63.660027269314206,67.76675398563106,68.07911948709447,66.71460800028022,69.44363097390872,2.3948598443813465,0.9316732295149319,3.858046459247761,0.029130984759515553,-0.10106984251585707,0.1593318120348882,2.3657288596218295,0.9094936825487454,3.8219640366949137
filtered,all,true,474,100,68.51542795679843,67.52667635392838,69.50417955966849,68.2781429759909,67.28348043536475,69.27280551661705,68.5521997306329,67.56545303981568,69.53894642145013,0.2372849808075429,0.11688368684645392,0.3576862747686319,-0.036771773834483684,-0.09568872082757553,0.02214517315860816,0.27405675464202583,0.135536032906454,0.4125774763775977
filtered,all,false,445,99,67.19812865479744,66.06918708423873,68.32707022535615,64.54201156206696,62.898736742271176,66.18528638186275,66.99629406094738,65.84355317255549,68.14903494933927,2.65611709273048,1.457106945487663,3.8551272399732968,0.20183459385005398,-0.1385475785382368,0.5422167662383448,2.4542824988804246,1.3553333135760703,3.553231684184779
filtered,theme,true,374,100,68.6236178544444,67.49428855375297,69.75294715513584,68.45240861107405,67.3130247636182,69.5917924585299,68.69138094941177,67.5654277733503,69.81733412547324,0.17120924337036036,0.03146855040634683,0.3109499363343739,-0.06776309496736688,-0.12902397450948444,-0.006502215425249307,0.23897233833772663,0.07697690524424211,0.40096777143121115
filtered,theme,false,36,23,65.47180312944154,59.45673363455338,71.48687262432969,65.33622463920995,59.32962473752103,71.34282454089886,65.61984437869988,59.68589248708445,71.5537962703153,0.13557849023158638,-0.11878675376233797,0.38994373422551076,-0.1480412492583388,-0.31371442597788923,0.017631927461211644,0.28361973948992286,-0.046129127529872416,0.6133686065097181
filtered,entity,true,6,6,65.35321066016809,58.17815378163506,72.52826753870112,64.66007128121885,57.7055837845501,71.6145587778876,65.60423568891198,58.52978382489946,72.6786875529245,0.6931393789492405,-0.1398495740611585,1.5261283319596395,-0.25102502874389254,-0.6238648594280458,0.12181480194026068,0.9441644076931284,0.2846202783229572,1.6037085370632995
filtered,entity,false,167,82,66.25141152416947,64.39785893472099,68.10496411361795,62.67335644466982,59.73979469504792,65.60691819429172,65.72388948270375,63.75743172568712,67.6903472397204,3.578055079499645,1.1936170580700431,5.9624931009292474,0.5275220414656976,-0.3583554479528508,1.413399530884246,3.050533038033946,1.023442147501565,5.077623928566327
filtered,detail,true,94,53,68.28681393616218,66.16230885069602,70.41131902162833,67.81572896160297,65.70788799477822,69.92356992842772,68.18660407560138,66.05653452966642,70.31667362153634,0.471084974559203,0.23813269507856813,0.7040372540398379,0.10020986056077973,-0.06594040836327249,0.26636012948483195,0.37087511399842255,0.10616858163167692,0.6355816463651682
filtered,detail,false,242,91,68.10825047185399,66.73972624759492,69.47677469611307,65.71339062747263,63.660027269314206,67.76675398563106,68.07911948709447,66.71460800028022,69.44363097390872,2.3948598443813465,0.9316732295149319,3.858046459247761,0.029130984759515553,-0.10106984251585707,0.1593318120348882,2.3657288596218295,0.9094936825487454,3.8219640366949137
