"idx","claim_no","claim_text","type","truth","evidence_span","note"
"0","1","Web-scraped SEO content","theme","true","get price and support online sayaji jaw crusher 30 24 baroda",""
"0","2","about stone crushers","theme","true","Sayaji Super Primary Crusher In Kenya. Crusher sayaji basalt. Stone Jaw Crusher Large Stone Crusher",""
"0","3","consistently listing product names","theme","true","Stone Jaw Crusher Large Stone Crusher Primary Rock Crusher Jaw crusher",""
"0","4","listing specs","detail","true","The Single Roll Crusher, with its 61 ratio of reduction",""
"0","5","listing manufacturer details","theme","true","Tel 86-21-58386256 Office Add Pudong New Area, Shanghai, China.",""
"0","6","in fragmented, repetitive patterns throughout","theme","true","sayaji stone crusher 16 9 bearings. sayaji crusher 36 x 8 . sayaji jaw crusher india.",""
"0","7","The text repeatedly cycles through crusher types","theme","true","Jaw Crusher Spring Cone Crusher ... Single Roll Crusher ... Gyratory Crushers",""
"0","8","cycles through brands","theme","true","Sandvk Super Primery Crusher ... China Crusher Gulin 200 T H ... SBM Mineral Processing Equipment",""
"0","9","brand Singhania","entity","false","Sayaji Super Primary Crusher In Kenya. Crusher sayaji basalt.","text: Sayaji (~25 mentions); explanation: Singhania. Plausible (Indian industrial brand/surname); Singhania never appears."
"0","10","brand India","entity","true","Sayaji Limestone Crusher Turnkey India ... sayaji jaw crusher india","India is present but as a country, not a brand; scored on presence only"
"0","11","cycles through equipment categories","theme","true","raymond mill ... Vertical hammer mill ... Gyratory Crushers",""
"0","12","each entry following a similar pattern of product name + brief description or price/spec reference","theme","true","Sayaji Crusher Catalogue Au coeur du jardin. Sayaji jaw crushers size and rates indonesia",""
"0","13","Final token is ""Price list for""","forecast","true","see more.Price list for",""
"0","14","""Price list for"" is the beginning of a search query or product listing phrase","forecast","true","what is the cost of sayaji jaw crusher 20 10 see more.Price list for",""
"0","15","part of a fragmented list of crusher-related search terms","theme","true","sayaji jaw crushers size and contact supplier what is the cost of sayaji jaw crusher 20 10 see more.",""
"0","16","the search terms are Singhania-related","entity","false","what is the cost of sayaji jaw crusher 20 10 see more.Price list for","Sayaji -> Singhania (repeat of brand substitution in a new sentence); plausible"
"0","17","next tokens must complete this phrase","forecast","unsupported","",""
"0","18","likely naming a specific crusher model, part, or equipment type (e.g., ""stone crusher,"" ""jaw crusher parts,"" ""singhania"")","forecast","unsupported","",""
"0","19","""Price list for"" is mid-phrase","forecast","true","see more.Price list for",""
"0","20","part of a search query list","theme","true","sayaji jaw crushers size and rates indonesia, indonesia is one important market of ogg, what is the cost of",""
"0","21","[quoted reconstruction] ""Singhania crusher price."" appears in the text","entity","false","what is the cost of sayaji jaw crusher 20 210","Sayaji -> Singhania inside invented quotation; plausible"
"0","22","[quoted reconstruction] a crusher-price inquiry phrase is repeated twice immediately before ""Price list for""","detail","true","what is the cost of sayaji jaw crusher 20 210 ... what is the cost of sayaji jaw crusher 20 10 see more.Price list for","structure right (repeated cost-of-crusher query), wording invented"
"0","23","expects a specific equipment or price inquiry","forecast","unsupported","",""
"1","1","Biographical narrative","theme","true","John Charles Morris was from South Hetton. He was born in 1896",""
"1","2","detailed chronological life history","theme","true","born on the 24th December 1868 ... commissioned ... in 1898 ... In 1901 ... 1902 ... In 1904",""
"1","3","of two military figures","detail","false","John Charles Morris ... Walter Gorner Barker ... Ewen George Sinclair-Maclagan","text: three figures; explanation: two. Plausible (count off by one)"
"1","4","the figures are British military","detail","true","enlisted in the Yorkshire Regiment ... commissioned as 2nd Lieutenant in the Border Regiment",""
"1","5","now mid-way through a career progression","theme","true","In 1904 Maclagan resumed regimental duty in Britain. Promoted",""
"1","6","the current subject is named John","entity","false","Ewen George Sinclair-Maclagan was born on the 24th December 1868 ... In 1904 Maclagan resumed","text: current subject is Sinclair-Maclagan; ""John"" is the first figure (Private John Charles Morris). Plausible (name lifted from elsewhere in the passage)"
"1","7","the current subject holds the rank of Captain","detail","true","and was promoted Captain in 1898",""
"1","8","each promotion/transfer follows a consistent structure — rank, posting, date, and role","theme","true","In 1901 he was posted to Australia when their Army was being organised, being appointed Adjutant to the New South Wales ",""
"1","9","there is a section on the subject's Royal Engineers service","entity","false","commissioned as 2nd Lieutenant in the Border Regiment in 1898","text: Border Regiment; explanation: Royal Engineers. Plausible (British Army corps); Royal Engineers never appears"
"1","10","""Promoted"" is the final word","forecast","true","resumed regimental duty in Britain. Promoted",""
"1","11","""Promoted"" begins a new sentence","detail","true","in Britain. Promoted",""
"1","12","""Promoted"" continues the subject's career timeline after his India service","detail","true","He served in India, including the expedition to Waziristan in 1894-5",""
"1","13","after his Royal Engineers commission","entity","false","commissioned as 2nd Lieutenant in the Border Regiment in 1898","Border Regiment -> Royal Engineers (second occurrence, new sentence); plausible"
"1","14","the immediate next token must be a rank (e.g., ""to Major"") or date","forecast","unsupported","",""
"1","15","consistent with the British Army promotion pattern [rank then date]","theme","true","was promoted Captain in 1898",""
"1","16","[quoted reconstruction] subject is ""Captain John""","entity","false","In 1904 Maclagan resumed regimental duty","Maclagan -> John (inside invented quotation); plausible"
"1","17","[quoted reconstruction] was commissioned in the Royal Engineers","entity","false","commissioned as 2nd Lieutenant in the Border Regiment in 1898","Border Regiment -> Royal Engineers (inside quotation); plausible"
"1","18","[quoted reconstruction] commissioned in 1886","detail","false","commissioned as 2nd Lieutenant in the Border Regiment in 1898","text: 1898; explanation: 1886. Plausible (late-19th-c. year)"
"1","19","[quoted reconstruction] He served in South Africa","detail","unsupported","","text says ""2nd Boer War"" and ""Spion Kop"" but never names South Africa; would need world knowledge"
"1","20","[quoted reconstruction] was awarded the DSO","detail","true","received the Distinguished Service Order","abbreviation match"
"1","21","[quoted reconstruction] Transferred to the Royal Artillery","entity","false","In 1901 he was posted to Australia ... appointed Adjutant to the New South Wales Scottish Rifles","NSW Scottish Rifles / Australia posting -> Royal Artillery; plausible (British Army arm); Royal Artillery never appears"
"1","22","[quoted reconstruction] he became a noted officer","other","unsupported","",""
"1","23","expects a rank like ""Major"" or ""Lieutenant Colonel"" followed by a date","forecast","unsupported","",""
"2","1","Biographical profile format","theme","true","Eloisia Wild is a Conservationist; graduating from Durrell Institute of Conservation and Ecology",""
"2","2","the subject is young","detail","unsupported","",""
"2","3","the subject is a conservation activist","theme","true","Eloisia Wild is a Conservationist ... setting up a marine plastics awareness campaign online",""
"2","4","consistently listing achievements","theme","true","completed various extreme weather expeditions including a solo coast to coast cycle",""
"2","5","listing skills","theme","true","gaining PADI diving certifications",""
"2","6","listing roles","theme","true","crewing vessels, conducting marine based surveys",""
"2","7","roles are in UK wildlife conservation","entity","unsupported","","text names Outer Hebrides and Durrell Institute but never ""UK""; focus is marine/ocean, Siberia also mentioned"
"2","8","follows a structured CV/profile pattern","theme","true","Eloisia Wild is a Conservationist; graduating from ... with a MSc in Conservation Science",""
"2","9","cycling through travel","theme","true","solo coast to coast cycle in high winds through the Outer Hebrides",""
"2","10","cycling through conservation work","theme","true","working on a variety of wildlife conservation projects over the last few years",""
"2","11","cycling through education","theme","true","graduating from Durrell Institute of Conservation and Ecology with a MSc in Conservation Science",""
"2","12","cycling through volunteering","theme","unsupported","","no volunteering mentioned; closest is ""working on a local fundraising project"""
"2","13","each paragraph adding a new dimension of the subject's background","theme","true","This year she has been busy obtaining marine related qualifications",""
"2","14","the subject is named Hannah","entity","false","Eloisia Wild is a Conservationist","Eloisia -> Hannah; plausible (female given name), Hannah never appears"
"2","15","""[Name] has"" opens a new sentence as the final words","forecast","true","tackle ocean debris.
Eloisia has",""
"2","16","the final words mirror earlier paragraph starters","theme","true","Eloisia has completed various extreme weather expeditions",""
"2","17","earlier paragraph starter ""Hannah has also worked""","detail","false","She has also been busy setting up a marine plastics awareness campaign","text: ""She has also been busy""; explanation: ""Hannah has also worked""; plausible near-paraphrase"
"2","18","earlier paragraph starter ""Hannah has recently completed""","detail","true","Eloisia has completed various extreme weather expeditions","structural match (""<Name> has completed""); name substitution scored separately; ""recently"" not in text"
"2","19","strongly predicting a final category of achievements","forecast","unsupported","",""
"2","20","likely media, speaking, or outreach experience not yet covered","forecast","unsupported","",""
"2","21","[quoted reconstruction] subject is a conservationist","theme","true","Eloisia Wild is a Conservationist",""
"2","22","[quoted reconstruction] subject is freelance","detail","unsupported","",""
"2","23","[quoted reconstruction] subject is an adventurer","detail","true","completed various extreme weather expeditions ... a big icy cycle expedition planned for 2020",""
"2","24","[quoted reconstruction] currently based in London","entity","unsupported","","no residence given anywhere in text"
"2","25","[quoted reconstruction] She is passionate about inspiring others to get involved in conservation and adventure","other","unsupported","",""
"2","26","[quoted reconstruction] recently completed a marine biology degree","detail","false","graduating from Durrell Institute of Conservation and Ecology with a MSc in Conservation Science","MSc Conservation Science -> marine biology degree; plausible (her focus is marine)"
"2","27","[quoted reconstruction] currently volunteering at a wildlife rescue centre","detail","false","This year she has been busy obtaining marine related qualifications on and under the oceans; with crewing vessels","current activity: marine qualifications / plastics campaign -> volunteering at wildlife rescue centre; plausible"
"2","28","final sentence likely introduces speaking, media, or travel credentials","forecast","unsupported","",""
"3","1","Academic bibliography/database listing format","theme","true","subject area of
- CicArVarDB: SNP and InDel database for advancing genetics research",""
"3","2","showing article titles in sequence","theme","true","- Contagious Bovine and Caprine Pleuropneumonia: ... 
- Farmer adoption of plot- and farm-level",""
"3","3","example title ""Effects of climate change on..."" is in the list","detail","false","- CicArVarDB ... - Contagious Bovine ... - Farmer adoption ... - Forest-linked livelihoods ... - Geographic bias","no such title; invented but plausible (ag/environment academic title)"
