audit_id,row,stim_idx,claim_idx,n_claims,wd_corrupt,wd_para,edit_1_is,edit_2_is,Δ_corrupt,Δ_paraphrase
1,457,134,2,3,2,16,paraphrase,corrupt,-0.0642980863560856,-0.0641665504626471
2,475,140,0,3,1,17,paraphrase,corrupt,-0.0068115868367804,-0.0042879759757167
3,222,65,1,3,1,17,corrupt,paraphrase,0.0031777235399014,0.0132976051767258
4,171,50,1,3,1,14,corrupt,paraphrase,-0.0093210381593398,-0.0041730595194282
5,426,125,0,3,1,12,paraphrase,corrupt,-0.0845166717537641,-0.0788805020231184
6,402,117,1,3,3,12,paraphrase,corrupt,0.0008104619136094,-0.0060629081077767
7,615,183,0,3,1,20,corrupt,paraphrase,0.0002888497290575,-0.0008695437788702
8,140,41,3,7,2,29,corrupt,paraphrase,0.0011245322616524,-0.0011462775883062
9,523,154,2,3,1,20,paraphrase,corrupt,-0.1518499559400369,-0.1352153703256068
10,275,79,2,3,1,14,corrupt,paraphrase,-0.0106442132475275,-0.0139368938488476
11,153,45,0,3,2,14,paraphrase,corrupt,-0.0025505406703212,-0.0031260346821553
12,404,118,0,3,1,18,corrupt,paraphrase,-0.0133386168246656,-0.0114893392403717
13,479,141,1,3,1,9,paraphrase,corrupt,-0.0132807527803989,-0.0138630473099766
14,651,194,0,3,2,12,paraphrase,corrupt,-9.940702270516688e-05,0.0173235161261589
15,561,166,1,4,3,10,corrupt,paraphrase,-0.0284042713606449,-0.023872663012143
16,573,170,0,3,2,10,paraphrase,corrupt,-0.007621168528486,-0.0088594517763751
17,295,86,1,3,1,20,corrupt,paraphrase,-0.0395428022827598,-0.0398105290270646
18,464,137,0,5,1,10,paraphrase,corrupt,-0.0018718723246016,-0.000674696164854
