doc_idx,selection_order,n_doc_tokens,t,skip_reason,n_cap_noninitial
500,0,4316,238,,43
121,1,513,226,,33
156,2,4826,255,,41
405,3,848,250,,51
4,4,1661,241,,3
291,5,2777,237,,37
137,6,1940,246,,33
404,7,12378,249,,27
253,8,11881,242,,18
84,9,3224,229,,40
313,10,4131,251,,7
401,11,9637,252,,16
430,12,1977,252,,38
572,13,2617,239,,27
67,14,2041,250,,40
73,15,2328,213,,16
360,16,4226,217,,34
151,17,8174,242,,28
563,18,1182,234,,27
423,19,1229,240,,25
615,20,4801,255,,36
369,21,624,232,,24
375,22,2117,248,,42
20,23,11481,234,,10
533,24,948,244,,35
478,25,2321,241,,37
443,26,2597,245,,29
463,27,7482,241,,34
543,28,2553,225,,43
602,29,7161,241,,40
254,30,2056,239,,25
477,31,1488,233,,18
178,32,5910,252,,47
417,33,2141,239,,30
338,34,2183,250,,36
605,35,1991,207,,32
344,36,3033,197,,14
139,37,1591,250,,14
277,38,1885,254,,28
321,39,4355,206,,20
