slot_id,context_id,split,slot_type,focus_word,label_orig,asserts,eligible,ineligible_reason,n_false_in_play,n_false_descriptive,has_correct,in_primary,natural_error,primary_exclusion,deletion_delta,s_carrier,mu_correct,o_correct,n_par_correct,correct_category,n_false_mu,G,G_orig,correct_first,correct_first_orig,frac_won,nat_diff,nat_diff_orig,mu_original,mu_correction
c0_entity,0,dev,entity,DVD,contradicted,yes,True,,2,0,False,False,False,no_valid_correction,-0.03937625153500324,0.9110167110114638,,,,,,,,,,,,,,
c1_entity,1,dev,entity,Monongahela,contradicted,yes,True,,2,0,False,False,False,no_valid_correction,-0.040314719535232135,0.846466506075511,,,,,,,,,,,,,,
c1_detail,1,dev,detail,before,contradicted,yes,True,,2,0,False,False,False,no_valid_correction,-0.053793536426685495,0.846466506075511,,,,,,,,,,,,,,
c2_entity,2,dev,entity,British,contradicted,yes,True,,1,0,False,False,False,no_valid_correction,-0.013408494625725909,0.8800338678383559,,,,,,,,,,,,,,
c3_entity,3,dev,entity,Cincinnati,contradicted,yes,True,,1,0,False,False,False,no_valid_correction,-0.029106022289932976,0.8694688752404652,,,,,,,,,,,,,,
c3_detail,3,dev,detail,2009,contradicted,yes,True,,1,0,False,False,False,no_valid_correction,-0.04755253534255788,0.8694688752404652,,,,,,,,,,,,,,
c4_entity,4,dev,entity,Australian,contradicted,yes,True,,1,0,False,False,False,no_valid_correction,-0.004415166497000245,0.8872770777170098,,,,,,,,,,,,,,
c5_entity,5,dev,entity,American,entailed,yes,True,,1,0,True,True,False,,-0.029260075140538522,0.8767025951534552,0.8732861126530562,0.8767025951534552,2.0,correct_original,1.0,0.0004548884635007244,0.00043413628733668386,1.0,1.0,1.0,,,,
c6_entity,6,dev,entity,British,contradicted,yes,True,,1,0,True,True,True,,-0.012736525656320108,0.8782665546924581,0.8814673350082713,0.8825219945001789,2.0,correction,1.0,0.005948049659448396,0.005284489219165023,1.0,1.0,1.0,0.004227868878643903,0.004255439807720807,0.8772394661296274,0.8814673350082713
c6_detail,6,dev,detail,ten,contradicted,yes,True,,1,0,False,False,False,no_valid_correction,-0.06226284475066535,0.8782665546924581,,,,,,,,,,,,,,
c7_entity,7,dev,entity,Wikipedia-style,contradicted,no,False,no_claim,0,0,False,False,False,,,0.90674601381527,,,,,,,,,,,,,,
c8_entity,8,dev,entity,British,contradicted,yes,True,,2,0,True,True,True,,-0.02850052863897501,0.8998637432633867,0.8992858147164444,0.9006454258367398,2.0,correction,2.0,0.003265682103766654,0.0029472615693952875,1.0,1.0,1.0,0.0004728347846579828,0.000781682573353093,0.8988129799317864,0.8992858147164444
c8_detail,8,dev,detail,1981,contradicted,yes,True,,2,0,False,False,False,no_valid_correction,-0.04699680192254818,0.8998637432633867,,,,,,,,,,,,,,
c9_entity,9,dev,entity,American,contradicted,yes,True,,1,0,True,True,True,,-0.012933105689224789,0.8859246075364632,0.8832017050129304,0.8852310002729852,2.0,correction,1.0,-0.0003911419149973394,-0.0005151312199186409,0.0,0.0,0.0,-0.00023176853926742957,-0.0006936072634780022,0.8834334735521978,0.8832017050129304
c9_detail,9,dev,detail,1945,contradicted,yes,True,,1,0,False,False,False,no_valid_correction,-0.0330029864539132,0.8859246075364632,,,,,,,,,,,,,,
c10_entity,10,eval,entity,Americas,contradicted,yes,True,,2,0,True,True,True,,-0.02580539663811554,0.9005417042343598,0.8980267122416173,0.9003267151113701,2.0,correction,2.0,-0.0009186186167802202,-0.000451114262288943,0.0,0.0,0.0,-0.0008147807167137033,-0.00021498912298967277,0.898841492958331,0.8980267122416173
c10_detail,10,eval,detail,four,undetermined,yes,False,original_undetermined,0,0,False,False,False,,,0.9005417042343598,,,,,,,,,,,,,,
c12_entity,12,eval,entity,On,contradicted,no,False,no_claim,0,0,False,False,False,,,0.9073671274161774,,,,,,,,,,,,,,
c13_entity,13,eval,entity,SAS,contradicted,yes,True,,2,0,False,False,False,no_valid_correction,-0.020260003721982334,0.9285967068272684,,,,,,,,,,,,,,
