idx,claim_no,row,sentence_no,stratum,is_last,type,truth,arm,n_content_words,ref_persist_atomic,persist_atomic,generated
0,1,1,1,non-last,False,entity,true,own,3,1.0,0.0,True
0,1,1,1,non-last,False,entity,true,random,3,1.0,0.0,True
0,1,1,1,non-last,False,entity,true,same,3,1.0,0.0,True
0,2,1,1,non-last,False,theme,true,own,4,1.0,0.0,True
0,2,1,1,non-last,False,theme,true,random,4,1.0,0.0,True
0,2,1,1,non-last,False,theme,true,same,4,1.0,0.0,True
0,3,1,1,non-last,False,detail,unsupported,own,3,1.0,0.0,True
0,3,1,1,non-last,False,detail,unsupported,random,3,1.0,0.0,True
0,3,1,1,non-last,False,detail,unsupported,same,3,1.0,0.0,True
0,4,1,1,non-last,False,detail,unsupported,own,4,1.0,0.0,True
0,4,1,1,non-last,False,detail,unsupported,random,4,1.0,0.0,True
0,4,1,1,non-last,False,detail,unsupported,same,4,1.0,1.0,True
0,5,1,1,non-last,False,theme,true,own,4,0.0,0.0,True
0,5,1,1,non-last,False,theme,true,random,4,0.0,0.0,True
0,5,1,1,non-last,False,theme,true,same,4,0.0,0.0,True
0,6,1,1,non-last,False,theme,true,own,5,1.0,0.0,True
0,6,1,1,non-last,False,theme,true,random,5,1.0,0.0,True
0,6,1,1,non-last,False,theme,true,same,5,1.0,0.0,True
0,7,2,2,non-last,False,detail,false,own,7,0.0,0.0,True
0,7,2,2,non-last,False,detail,false,random,7,0.0,0.0,True
0,7,2,2,non-last,False,detail,false,same,7,0.0,0.0,True
0,8,2,2,non-last,False,entity,false,own,1,1.0,0.0,True
0,8,2,2,non-last,False,entity,false,random,1,1.0,1.0,True
0,8,2,2,non-last,False,entity,false,same,1,1.0,0.0,True
0,9,2,2,non-last,False,theme,true,own,6,1.0,0.0,True
0,9,2,2,non-last,False,theme,true,random,6,1.0,0.0,True
0,9,2,2,non-last,False,theme,true,same,6,1.0,0.0,True
0,10,2,2,non-last,False,detail,true,own,3,1.0,0.0,True
0,10,2,2,non-last,False,detail,true,random,3,1.0,0.0,True
0,10,2,2,non-last,False,detail,true,same,3,1.0,0.0,True
0,11,2,2,non-last,False,detail,false,own,4,1.0,0.0,True
0,11,2,2,non-last,False,detail,false,random,4,1.0,0.0,True
0,11,2,2,non-last,False,detail,false,same,4,1.0,0.0,True
0,12,2,2,non-last,False,theme,true,own,5,1.0,0.0,True
0,12,2,2,non-last,False,theme,true,random,5,1.0,0.0,True
0,12,2,2,non-last,False,theme,true,same,5,1.0,0.0,True
0,13,3,3,positive_control_last,True,forecast,true,own,2,1.0,1.0,True
0,13,3,3,positive_control_last,True,forecast,true,random,2,1.0,1.0,True
0,13,3,3,positive_control_last,True,forecast,true,same,2,1.0,1.0,True
0,14,3,3,positive_control_last,True,forecast,true,own,3,1.0,1.0,True
0,14,3,3,positive_control_last,True,forecast,true,random,3,1.0,1.0,True
0,14,3,3,positive_control_last,True,forecast,true,same,3,1.0,1.0,True
0,15,2,2,non-last,False,detail,false,own,5,0.0,0.0,True
0,15,2,2,non-last,False,detail,false,random,5,0.0,0.0,True
0,15,2,2,non-last,False,detail,false,same,5,0.0,0.0,True
0,16,3,3,positive_control_last,True,detail,unsupported,own,4,1.0,0.0,True
0,16,3,3,positive_control_last,True,detail,unsupported,random,4,1.0,1.0,True
0,16,3,3,positive_control_last,True,detail,unsupported,same,4,1.0,1.0,True
0,17,3,3,positive_control_last,True,forecast,unsupported,own,8,0.0,0.0,True
0,17,3,3,positive_control_last,True,forecast,unsupported,random,8,0.0,0.0,True
0,17,3,3,positive_control_last,True,forecast,unsupported,same,8,0.0,0.0,True
1,1,11,1,non-last,False,theme,true,own,4,1.0,0.0,True
1,1,11,1,non-last,False,theme,true,random,4,1.0,0.0,True
1,1,11,1,non-last,False,theme,true,same,4,1.0,1.0,True
1,2,13,3,positive_control_last,True,entity,false,own,3,0.0,0.0,True
1,2,13,3,positive_control_last,True,entity,false,random,3,0.0,0.0,True
1,2,13,3,positive_control_last,True,entity,false,same,3,0.0,0.0,True
1,3,11,1,non-last,False,detail,true,own,3,0.0,0.0,True
1,3,11,1,non-last,False,detail,true,random,3,0.0,0.0,True
1,3,11,1,non-last,False,detail,true,same,3,0.0,0.0,True
1,4,11,1,non-last,False,theme,true,own,2,1.0,0.0,True
1,4,11,1,non-last,False,theme,true,random,2,1.0,0.0,True
1,4,11,1,non-last,False,theme,true,same,2,1.0,1.0,True
1,5,11,1,non-last,False,theme,true,own,2,1.0,0.0,True
1,5,11,1,non-last,False,theme,true,random,2,1.0,0.0,True
1,5,11,1,non-last,False,theme,true,same,2,1.0,0.0,True
1,6,11,1,non-last,False,detail,true,own,1,1.0,0.0,True
1,6,11,1,non-last,False,detail,true,random,1,1.0,1.0,True
1,6,11,1,non-last,False,detail,true,same,1,1.0,1.0,True
1,7,12,2,non-last,False,detail,true,own,3,1.0,0.0,True
1,7,12,2,non-last,False,detail,true,random,3,1.0,0.0,True
1,7,12,2,non-last,False,detail,true,same,3,1.0,0.0,True
1,8,12,2,non-last,False,entity,false,own,3,1.0,0.0,True
1,8,12,2,non-last,False,entity,false,random,3,1.0,0.0,True
1,8,12,2,non-last,False,entity,false,same,3,1.0,0.0,True
1,9,12,2,non-last,False,detail,unsupported,own,2,1.0,1.0,True
1,9,12,2,non-last,False,detail,unsupported,random,2,1.0,1.0,True
1,9,12,2,non-last,False,detail,unsupported,same,2,1.0,1.0,True
1,10,12,2,non-last,False,theme,true,own,5,1.0,0.0,True
1,10,12,2,non-last,False,theme,true,random,5,1.0,1.0,True
1,10,12,2,non-last,False,theme,true,same,5,1.0,0.0,True
1,11,12,2,non-last,False,theme,true,own,6,1.0,0.0,True
1,11,12,2,non-last,False,theme,true,random,6,1.0,1.0,True
1,11,12,2,non-last,False,theme,true,same,6,1.0,0.0,True
1,12,13,3,positive_control_last,True,forecast,true,own,3,1.0,1.0,True
1,12,13,3,positive_control_last,True,forecast,true,random,3,1.0,1.0,True
1,12,13,3,positive_control_last,True,forecast,true,same,3,1.0,1.0,True
1,13,13,3,positive_control_last,True,forecast,true,own,3,1.0,1.0,True
1,13,13,3,positive_control_last,True,forecast,true,random,3,1.0,1.0,True
1,13,13,3,positive_control_last,True,forecast,true,same,3,1.0,0.0,True
1,14,13,3,positive_control_last,True,detail,false,own,5,0.0,0.0,True
1,14,13,3,positive_control_last,True,detail,false,random,5,0.0,0.0,True
1,14,13,3,positive_control_last,True,detail,false,same,5,0.0,0.0,True
1,15,13,3,positive_control_last,True,theme,true,own,4,1.0,0.0,True
1,15,13,3,positive_control_last,True,theme,true,random,4,1.0,1.0,True
1,15,13,3,positive_control_last,True,theme,true,same,4,1.0,1.0,True
1,16,13,3,positive_control_last,True,forecast,unsupported,own,8,0.0,0.0,True
1,16,13,3,positive_control_last,True,forecast,unsupported,random,8,0.0,0.0,True
1,16,13,3,positive_control_last,True,forecast,unsupported,same,8,0.0,0.0,True
2,1,21,1,non-last,False,entity,unsupported,own,1,1.0,0.0,True
2,1,21,1,non-last,False,entity,unsupported,random,1,1.0,1.0,True
2,1,21,1,non-last,False,entity,unsupported,same,1,1.0,1.0,True
2,2,21,1,non-last,False,detail,false,own,3,1.0,0.0,True
2,2,21,1,non-last,False,detail,false,random,3,1.0,1.0,True
2,2,21,1,non-last,False,detail,false,same,3,1.0,0.0,True
2,3,21,1,non-last,False,theme,true,own,2,1.0,0.0,True
2,3,21,1,non-last,False,theme,true,random,2,1.0,0.0,True
2,3,21,1,non-last,False,theme,true,same,2,1.0,0.0,True
2,4,21,1,non-last,False,theme,true,own,3,1.0,0.0,True
2,4,21,1,non-last,False,theme,true,random,3,1.0,0.0,True
2,4,21,1,non-last,False,theme,true,same,3,1.0,1.0,True
2,5,21,1,non-last,False,theme,true,own,2,1.0,0.0,True
2,5,21,1,non-last,False,theme,true,random,2,1.0,1.0,True
2,5,21,1,non-last,False,theme,true,same,2,1.0,1.0,True
2,6,21,1,non-last,False,entity,false,own,3,1.0,1.0,True
2,6,21,1,non-last,False,entity,false,random,3,1.0,0.0,True
2,6,21,1,non-last,False,entity,false,same,3,1.0,0.0,True
2,7,22,2,non-last,False,entity,false,own,2,0.0,0.0,True
2,7,22,2,non-last,False,entity,false,random,2,0.0,0.0,True
2,7,22,2,non-last,False,entity,false,same,2,0.0,0.0,True
2,8,22,2,non-last,False,detail,true,own,4,1.0,0.0,True
2,8,22,2,non-last,False,detail,true,random,4,1.0,1.0,True
2,8,22,2,non-last,False,detail,true,same,4,1.0,0.0,True
2,9,22,2,non-last,False,theme,true,own,7,1.0,0.0,True
2,9,22,2,non-last,False,theme,true,random,7,1.0,0.0,True
2,9,22,2,non-last,False,theme,true,same,7,1.0,0.0,True
2,10,22,2,non-last,False,theme,true,own,1,1.0,1.0,True
2,10,22,2,non-last,False,theme,true,random,1,1.0,1.0,True
2,10,22,2,non-last,False,theme,true,same,1,1.0,1.0,True
2,11,22,2,non-last,False,detail,true,own,4,0.0,0.0,True
2,11,22,2,non-last,False,detail,true,random,4,0.0,0.0,True
2,11,22,2,non-last,False,detail,true,same,4,0.0,0.0,True
2,12,23,3,positive_control_last,True,forecast,true,own,2,1.0,1.0,True
2,12,23,3,positive_control_last,True,forecast,true,random,2,1.0,1.0,True
2,12,23,3,positive_control_last,True,forecast,true,same,2,1.0,1.0,True
2,13,23,3,positive_control_last,True,forecast,true,own,3,1.0,0.0,True
2,13,23,3,positive_control_last,True,forecast,true,random,3,1.0,1.0,True
2,13,23,3,positive_control_last,True,forecast,true,same,3,1.0,0.0,True
2,14,22,2,non-last,False,entity,false,own,2,0.0,0.0,True
2,14,22,2,non-last,False,entity,false,random,2,0.0,0.0,True
2,14,22,2,non-last,False,entity,false,same,2,0.0,0.0,True
2,15,23,3,positive_control_last,True,detail,false,own,4,1.0,0.0,True
2,15,23,3,positive_control_last,True,detail,false,random,4,1.0,0.0,True
2,15,23,3,positive_control_last,True,detail,false,same,4,1.0,0.0,True
2,16,23,3,positive_control_last,True,forecast,unsupported,own,6,0.0,0.0,True
2,16,23,3,positive_control_last,True,forecast,unsupported,random,6,0.0,0.0,True
2,16,23,3,positive_control_last,True,forecast,unsupported,same,6,0.0,0.0,True
3,1,31,1,non-last,False,theme,true,own,4,1.0,0.0,True
3,1,31,1,non-last,False,theme,true,random,4,1.0,1.0,True
3,1,31,1,non-last,False,theme,true,same,4,1.0,1.0,True
3,2,31,1,non-last,False,detail,false,own,1,1.0,0.0,True
3,2,31,1,non-last,False,detail,false,random,1,1.0,0.0,True
3,2,31,1,non-last,False,detail,false,same,1,1.0,1.0,True
3,3,31,1,non-last,False,theme,true,own,2,1.0,0.0,True
3,3,31,1,non-last,False,theme,true,random,2,1.0,1.0,True
3,3,31,1,non-last,False,theme,true,same,2,1.0,1.0,True
3,4,31,1,non-last,False,theme,true,own,3,1.0,0.0,True
3,4,31,1,non-last,False,theme,true,random,3,1.0,1.0,True
3,4,31,1,non-last,False,theme,true,same,3,1.0,0.0,True
3,5,31,1,non-last,False,theme,true,own,2,1.0,1.0,True
3,5,31,1,non-last,False,theme,true,random,2,1.0,1.0,True
3,5,31,1,non-last,False,theme,true,same,2,1.0,1.0,True
3,6,31,1,non-last,False,detail,true,own,4,1.0,0.0,True
3,6,31,1,non-last,False,detail,true,random,4,1.0,0.0,True
3,6,31,1,non-last,False,detail,true,same,4,1.0,1.0,True
3,7,31,1,non-last,False,detail,false,own,2,1.0,0.0,True
3,7,31,1,non-last,False,detail,false,random,2,1.0,0.0,True
3,7,31,1,non-last,False,detail,false,same,2,1.0,1.0,True
