item_id,item_type,context_id,prefix_text,sentence,candidate_words_shuffled,transform,human_label,human_note,word_orig,in_full_prefix,is_last,stratum,rank,gap,cos_by_word
k1_row_439,k1_row,129," = West Hendford Cricket Ground , Yeovil = 
 
 West Hendford Cricket Ground was a first @-@ class cricket ground located in Yeovil , Somerset . The land for the ground was first leased by Yeovil Cricket Club in 1874 , and was also used for a range of other sports , most significantly hosting Yeovil Rugby Club in the 1890s , and then again from 1935 until the ground was closed . Significant improvements were made to the ground during the 1930s , including the opening of a new pavilion , jointly funded by the Rugby and Cricket clubs . The ground was demolished in 1944 when Westland Aircraft extended their factory , and both Yeovil Cricket Club and Rugby Club moved to Johnson Park . 
 Between 1935 and 1939 , the ground hosted five annual Somerset County Cricket Club matches in July or August ; the first of which nearly broke a county record for ticket sales on the gate . Somerset only won one of the five matches , the 1936 contest against Worcestershire . 
 
 = = History = = 
 
 Yeovil and County Cricket Club was formed in 1865 , and was the first attempt at setting up a county cricket team for Somerset . The attempt was unsuccessful , and the club broke up . In 1874 , the club was re @-@ formed with the lesser remit , as Yeovil Cricket Club","The sentence structure ""The club had started as a Social Club in Glasgow, before becoming the Glasgow Football Club, and then in 1875 formed as Glasgow Cricket Club"" establishes a chronological pattern describing the club's name change and founding membership shift.",1875|3750|5625|1876|1882|1874|1975|1888,one-word alternatives (which of the words is grounded in the prefix?),,,1875,False,False,nonlast_not_in_prefix,4.0,0.0001285440290226,"{""1875"": 0.8332392602637032, ""1876"": 0.8331818205135741, ""1882"": 0.8331519161943923, ""1888"": 0.8329233936512299, ""3750"": 0.8333001539659377, ""5625"": 0.8332988492111721, ""1975"": 0.8326066190141082, ""1874"": 0.8333122610923486}"
k1_row_429,k1_row,126," = 1998 National League Wild Card tie @-@ breaker game = 
 
 The 1998 National League wild @-@ card tie @-@ breaker game was a one @-@ game extension to Major League Baseball 's ( MLB ) 1998 regular season , played between the Chicago Cubs and San Francisco Giants to determine the winner of the National League ( NL ) wild card . The game took place at Wrigley Field in Chicago , on September 28 , 1998 . The Cubs won the game 5 – 3 , holding the Giants scoreless","Sports article format with historical baseball statistics, presenting game details from a Major League Baseball record.",TV|Major|PM|Strom|Royal|12th|Context|1970s,one-word alternatives (which of the words is grounded in the prefix?),,,Major,True,False,nonlast_in_prefix,1.0,0.0008244666443572,"{""Major"": 0.87194837729231, ""PM"": 0.8714860136180351, ""Royal"": 0.8706225271060805, ""Strom"": 0.8709512278574628, ""1970s"": 0.8704008065814935, ""12th"": 0.8715781613575446, ""TV"": 0.8711059169409566, ""Context"": 0.871722721074096}"
k1_row_566,k1_row,167," = Adams River ( British Columbia ) = 
 
 The Adams River is a tributary to the Thompson and Fraser Rivers in British Columbia , Canada . Beginning in the Monashee Mountains to the north , the Upper Adams River flows mainly southward and eventually reaches Adams Lake . The Lower Adams River begins at the southern end of the lake and flows into the extreme western end of Shuswap Lake . The river is one of the most important sockeye salmon breeding areas in North America . The run occurs in mid @-@ October and can bring millions of fish to a concentrated area near the river mouth . Excavations of Secwepemc villages on the river have shown a long tradition of habitation and salmon fishing in the area . The river also served as an important transportation route for early logging operations in the watershed . 
 
 = = Course = = 
 
 The headwaters of the Adams are several unnamed glaciers at roughly 2 @,@ 000 metres ( 6 @,@ 600 ft ) elevation in the north @-@ east region of the Monashee Range of the Columbia Mountains . The upper portion of the river flows roughly south and southwest through wetlands and passes through two small lakes , Tumtum and Mica . It has sections of rapids and whitewater , and flows over cataracts below Tumtum Lake . Its flow drops by 5 metres ( 16 ft ) per kilometre in certain sections . After travelling for 94 kilometres ( 58 mi ) and entering the Shuswap Highland , it enters the northern end of Adams Lake . 
 Adams Lake is roughly ","Final token ""  "" opens a numeric measurement mid-value (""Its length is approximately ""), part of a second dimension fact (""The lake is about""), immediately requiring a numeric value like ""15 km long"" or ""a narrow lake basin with"" or ""16 km² area,"" continuing lake description.",45|115|22|15|28|14|16|30,one-word alternatives (which of the words is grounded in the prefix?),,,"""15",False,True,positive_control_last,1.0,0.0002724299015702,"{""15"": 0.910938917918878, ""16"": 0.9109312443282038, ""22"": 0.9107494570007844, ""28"": 0.9108533955823108, ""30"": 0.9104787095546683, ""45"": 0.9106616828380439, ""115"": 0.9103013265179871, ""14"": 0.910689600299157}"
k1_row_603,k1_row,179," = Boy @-@ Scoutz ' n the Hood = 
 
 "" Boy @-@ Scoutz ' n the Hood "" is the eighth episode of The Simpsons ' fifth season . It originally aired on the Fox network in the United States on November 18 , 1993 . In the episode , Bart , intoxicated from an all @-@ syrup squishee , mistakenly joins the Junior Campers , a Boy Scout @-@ style organization that 's not affiliated with the Boy Scouts of America . After finding advantages to being a member , Bart gets taken in by the group and eventually goes rafting on a father @-@ son outing with Homer . 
 The episode was written by Dan McGrath and directed by Jeffrey Lynch . Ernest Borgnine guest starred in the episode as himself . He recorded his lines at the Village Recorder in West Los Angeles . The episode makes cultural references to the films My Dinner with Andre , The Terminator , On the Town , Crocodile Dundee , Deliverance , Friday the 13th , and Boyz n the Hood ( in the title ) as well as the song "" Sugar , Sugar "" by The Archies . Since airing , the episode has received mostly positive reviews from television critics . It acquired a Nielsen rating of 13 @.@ 0 , and was the highest @-@ rated show on the Fox network the week it aired . 
 
 = = Plot = = 
 
 After being forced to leave the amusement arcade","The sentence ""One day the boy is denied entry to the video arcade"" begins a specific example or anecdote, likely describing a personal incident or social rule, continuing the list of reasons for the protagonist's mood.",Korean|Raphael|One|CD|Unlike|Imagine|Florida|Second,one-word alternatives (which of the words is grounded in the prefix?),,,"""One",False,False,nonlast_not_in_prefix,5.0,-0.000417974996847,"{""One"": 0.8712666771788659, ""Imagine"": 0.8697849639566375, ""Raphael"": 0.871196979975641, ""Unlike"": 0.8725715509944141, ""Second"": 0.8705806874405406, ""Korean"": 0.874190656139667, ""Florida"": 0.8714529847021788, ""CD"": 0.8720147420209119}"
k1_row_626,k1_row,186," = Kyra ( Charmed ) = 
 
 Kyra , also known by her title the Seer , is a fictional character from the American television supernatural drama Charmed , which aired on the WB Television Network ( the WB ) from 1998 to 2006 . Charmed follows the supernatural adventures of the Charmed Ones , a trio of sisters known as the most powerful witches of all time . The character was created by executive producer Brad Kern and was portrayed by actress Charisma Carpenter . Carpenter was invited on the show after acting with Charmed cast member Holly Marie Combs on the ABC Family television film See Jane Date ( 2003 ) . The actress ' original contract was a guest star role that included three episodes in season seven , with media outlets reporting the possibility of Carpenter becoming a series regular . 
 A demon characterized by her powers of divination and precognition , she eventually forms a friendship with Leo Wyatt ( Brian Krause ) and the Charmed Ones , specifically Phoebe Halliwell ( Alyssa Milano ) , after expressing her desire to become human . Despite being killed by the demon Zankou ( Oded Fehr ) on the show , the character makes further canonical appearances in the comic book series Charmed : Season 10 . Her storylines focus on her involvement with witch Prue Halliwell 's new destiny , and her romantic relationship with the newly revived Benjamin Turner ( the father of Cole Turner ) . 
 The Kyra character has received mixed feedback from critics , and has been defined by her sex appeal and called "" overtly sexual , coy and kitteny "" , and "" tasty "" . Critics have positively and negatively compared the role to Carpenter 's previous performance as Cordelia Chase on the supernatural dramas Buffy the Vampire Slayer ( 1997 ) and Angel","The sentence ending ""Another example is the actor who starred in Buffy the Vampire Slayer, Dawson's Creek, and Angel"" is listing similar television series from the 1990s horror genre, with ""Angel"" implying a second show's vampire context.",Context|Wikipedia|Survived|NFL|NES|Major|Spanish|1990s,one-word alternatives (which of the words is grounded in the prefix?),,,1990s,False,False,nonlast_not_in_prefix,1.0,0.0010071939450035,"{""1990s"": 0.8894164536086431, ""Wikipedia"": 0.8888793732713453, ""Major"": 0.8892658892344611, ""NFL"": 0.8889400240929305, ""Survived"": 0.8888705773238578, ""Spanish"": 0.886304546776757, ""NES"": 0.88811670196946, ""Context"": 0.8884877049766655}"
k1_row_524,k1_row,155," = 1986 Peach Bowl = 
 
 The 1986 Peach Bowl was a post @-@ season American college football bowl game at Fulton County Stadium in Atlanta , Georgia between the Virginia Tech Hokies and the North Carolina State Wolfpack from on December 31 , 1986 . The game was the final contest of the 1986 NCAA Division I @-@ A football season for both teams , and ended in a 25 – 24 victory for Virginia Tech , the first bowl victory in school history . 
 Virginia Tech came into the game with a 9 – 1 – 1 record that included an unusual win over the Temple Owls , who were forced to forfeit a victory to Virginia Tech after using an ineligible player . Facing the Hokies in the Peach Bowl were the 18th @-@ ranked Wolfpack from North Carolina State University . N.C. State was led by head coach Dick Sheridan and had a regular @-@ season record of 8 – 2 – 1 that included five wins over Atlantic Coast Conference teams . 
 The 1986 Peach Bowl kicked off five years minus one day since Virginia Tech had last played in Atlanta — during the 1981 Peach Bowl . Virginia Tech scored first in the game , but NC State 's Bulluck blocked a Tech punt in the Tech end zone and recovered it for a tying touchdown . Virginia Tech kicked a field goal at the end of the quarter to take a 10 – 7 lead , but NC State fought back , scoring 14 unanswered points in the second quarter to take a 21 – 10 lead by halftime . In the third quarter , the game turned into a defensive battle . Neither side scored until late in the third quarter , when Tech took advantage of a State fumble to score the first touchdown of the second half . Tech failed to convert a two @-@ point conversion , but NC State fumbled again on","Sports broadcast recap format with historical NFL game details, listing play-by-play highlights of a 1960s Army vs.",Sm|Some|Indian|1960s|Similarly|Turkish|Carangoides|Tyrannosaurus,one-word alternatives (which of the words is grounded in the prefix?),,,1960s,False,False,nonlast_not_in_prefix,1.0,0.0012894435256894,"{""1960s"": 0.9005202260376267, ""Tyrannosaurus"": 0.8994132589082503, ""Some"": 0.8999775639510549, ""Turkish"": 0.8982678188794999, ""Similarly"": 0.8996312359758054, ""Indian"": 0.8985065887654635, ""Sm"": 0.8993309982246748, ""Carangoides"": 0.8994880128788126}"
k1_row_362,k1_row,104," = Martin Keamy = 
 
 First Sergeant Martin Christopher Keamy is a fictional character played by Kevin Durand in the fourth season and sixth season of the American ABC television series Lost . Keamy is introduced in the fifth episode of the fourth season as a crew member aboard the freighter called the Kahana that is offshore the island where most of Lost takes place . In the second half of the season , Keamy served as the primary antagonist . He is the leader of a mercenary team hired by billionaire Charles Widmore ( played by Alan Dale ) that is sent to the island on a mission to capture Widmore 's enemy Ben Linus ( Michael Emerson ) from his home , then torch the island . 
 Unlike Lost 's ensemble of characters","The sentence structure ""Unlike many of his fellow characters"" suggests a contrast clause continuing a character trait or narrative arc about the villain's mysterious origin versus the show's other characters, likely referencing the novel's established ensemble cast or lack of backstory.",Unlike|When|Everyday|Angel|Additionally|15th|Over|But,one-word alternatives (which of the words is grounded in the prefix?),,,"""Unlike",True,False,nonlast_in_prefix,4.0,-0.0003499786223173,"{""Unlike"": 0.8688086894865119, ""But"": 0.8664245199920008, ""Additionally"": 0.8696333955978303, ""Over"": 0.8678985220391613, ""Everyday"": 0.8687369036485182, ""15th"": 0.8729519134528247, ""Angel"": 0.8702899731240155, ""When"": 0.8681754489074534}"
k1_row_549,k1_row,162," = My Boo ( Usher and Alicia Keys song ) = 
 
 "" My Boo "" is a du","Final token ""du"" is a truncated word mid-definition (""a du""), part of a noun phrase describing the song's status (""This is a duet""), immediately requiring ""et song"" or ""ited song by Taylor Swift and another artist,"" continuing the definition of the collaborative work.",Allied|Red|Over|Tech|1990s|This|Carter|Artificial,one-word alternatives (which of the words is grounded in the prefix?),,,"(""This",False,True,positive_control_last,8.0,-0.0028103480277142,"{""This"": 0.932809381344513, ""1990s"": 0.9363926564414037, ""Allied"": 0.9350138331515276, ""Red"": 0.9355534286296868, ""Over"": 0.936549122752503, ""Tech"": 0.9347762753700979, ""Carter"": 0.9350401570896878, ""Artificial"": 0.9360126321706839}"
k1_row_290,k1_row,84," = Central Area Command ( RAAF ) = 
 
 Central Area Command was one of several geographically based commands raised by the Royal Australian Air Force ( RAAF ) during World War II . It was formed in March 1940 , and covered the central portion of New","Final token ""New"" is mid-word (""New""), part of a parenthetical geographic specification (""the entire area of New""), immediately requiring ""Zealand"" or ""Zealand's"" or ""South Island,"" continuing the historical context about the unit's wartime personnel scope.",1640's|Texas|Death|T-12-03-15|New|Bible|11:45|Related,one-word alternatives (which of the words is grounded in the prefix?),,,"""New""",True,True,positive_control_last,1.0,0.0317123886520961,"{""New"": 0.935528297211703, ""Bible"": 0.8768504683908525, ""1640's"": 0.9214113367297934, ""T-12-03-15"": 0.8386408052670735, ""Texas"": 0.9332036540490737, ""Death"": 0.919379103675921, ""Related"": 0.9175986383416269, ""11:45"": 0.9196273534629081}"
k1_row_461,k1_row,136," = Hurricane Omar ( 2008 ) = 
 
 Hurricane Omar was a strong hurricane that took an unusual southwest to northeast track through the eastern Caribbean Sea during October , 2008 . Forming out of a tropical disturbance on October 13 , Omar initially moved slowly in the eastern Caribbean Sea . By October 15 , Omar began to quickly intensify as deep convection developed around the center of circulation . Later that day , an eye developed and the storm began to accelerate to the northeast . Early on October 16 , Omar reached its peak intensity with winds of 130 mph ( 215 km / h ) and a barometric pressure of 958 mbar ( hPa ; 28 @.@ 29 inHg ) . Shortly after , the hurricane rapidly weakened to Category 1 intensity . After slightly re @-@ strengthening the next day , Omar weakened to a tropical storm before degenerating into a non @-@ convective low pressure area . The remnants of Omar persisted until October 21 at which time it dissipated to the west of the Azores . 
 Throughout the eastern Caribbean , Omar affected numerous islands , most of which only recorded minor impacts . Large swells and heavy rains impacted the ABC islands . Antigua and Barbuda sustained $ 54 million in damages , mainly on Antigua as nine homes were destroyed , several others damaged and many farms were inundated by flood waters . One person died in Puerto Rico after suffering a stress @-@ induced cardiac arrest . The United States Virgin Islands also sustained significant damage , costing roughly $ 6 million . Numerous boats and homes were damaged and over 100 power poles were snapped . Total losses from the storm were estimated at $ 79 million . 
 
 = = Meteorological history =","Wiki-style formatted article with numbered sections and bullet points listing events, establishing a structured encyclopedia format about a fictional ""Global warming"" song.",Her|Latin|Av|Global|Japanese|Russian|Haitian|Song,one-word alternatives (which of the words is grounded in the prefix?),,,"""Global",False,False,nonlast_not_in_prefix,2.0,0.0009314697292047,"{""Global"": 0.7847762112434621, ""Av"": 0.7838675909995455, ""Latin"": 0.7842205758157182, ""Her"": 0.7838710399043929, ""Haitian"": 0.7842141292182293, ""Japanese"": 0.7802443745577247, ""Song"": 0.7844442681955615, ""Russian"": 0.7860512119086293}"
