block,hidden_states_index,c3_n_cells,c3_d_entity,c3_d_entity_lo,c3_d_entity_hi,c3_d_phrasing,c3_d_phrasing_lo,c3_d_phrasing_hi,c3_ratio_entity_over_phrasing,c3_ratio_lo,c3_ratio_hi,c3_entity_minus_phrasing,c3_entity_minus_phrasing_lo,c3_entity_minus_phrasing_hi,c3_mean_norm,s3_n,s3_d_corr,s3_d_corr_lo,s3_d_corr_hi,s3_d_para,s3_d_para_lo,s3_d_para_hi,s3_corr_minus_para,s3_corr_minus_para_lo,s3_corr_minus_para_hi,s3_ratio_corr_over_para,s3_ratio_lo,s3_ratio_hi,s3_mean_norm
0,1,40,0.0003779759767507232,0.00028510401537665855,0.000504660584148917,0.0010263510798573002,0.00036256657130232325,0.002034869400931073,1.2042284127629848,0.5292976112644125,2.207764490459421,-0.0006483751031065771,-0.0015633439985324857,-2.5183976780520613e-05,12.938406276702882,490,0.024153178075494976,0.016053172990432723,0.0322609630414076,0.04017028555732453,0.0310835562177589,0.04970337180356383,-0.016017107481829555,-0.025982912752914568,-0.006216450037751691,1.9366748439335566,1.16467845470848,2.797497175101707,10.40084874094749
1,2,40,0.0003746962174456331,0.0002908861337589563,0.00047679742244975887,0.0009782912797245747,0.0004219284903129822,0.0017267614977277265,0.8865780297433025,0.5056362948012991,1.3580422426244998,-0.0006035950622789415,-0.001270500848834225,-9.369312246377278e-05,19.109927940368653,490,0.01892263332772331,0.012208315828135724,0.02565004115811697,0.03263768316703125,0.02577642231660922,0.040074101974052055,-0.013715049839307939,-0.020713817315285467,-0.0067427062303811545,1.093551147567486,0.7037133392400997,1.5133292821587652,16.83787783214024
2,3,40,0.0008595778964878772,0.0006731543714714937,0.0010672679961827142,0.0013647511332563812,0.0006523869648458687,0.002505647581094541,1.2454134725643848,0.6859432457476436,1.8728097520682832,-0.0005051732367685038,-0.0015535201538035433,0.00019414260029805626,22.75005431175232,490,0.020854492661248288,0.013799712381106184,0.028147363296264265,0.0395725469743345,0.03243174300163896,0.0470323223757096,-0.018718054313086215,-0.026040313773734506,-0.011409677798992178,0.8532003498195335,0.5515442171641237,1.1590815921924227,18.432615755042253
3,4,40,0.0012611791673326294,0.0009867340463968655,0.0015571741494618701,0.0018030933518393215,0.0008807697775679516,0.0032798565655691374,1.3470861003502042,0.710601559813358,2.098076516454205,-0.0005419141845066922,-0.0019464804079927264,0.0004613007359470491,23.561620426177978,490,0.027082604595456007,0.019041687816689856,0.035215490265427904,0.07297991628408736,0.06459589739407422,0.08160580633650413,-0.04589731168863135,-0.05401716767013193,-0.03721578549959368,0.6985552590910904,0.43662081886959486,0.9934256760504474,18.50997785451461
4,5,40,0.0016393732465359607,0.0011714363209929062,0.0021724423409140276,0.001980075676089553,0.0009851690044541484,0.0035920275744670987,1.6140743917786242,0.7688813036698557,2.633601943464833,-0.00034070242955359237,-0.001844359911726616,0.0008525238147539503,27.070421838760375,490,0.028502900641586046,0.02018045473263536,0.036613164349496116,0.08471283646451265,0.0758307648252945,0.09381561192015808,-0.05620993582292662,-0.06464663343598362,-0.04697034750316678,0.6178369405942364,0.3672333652507819,0.8998703732776145,23.42670907001106
5,6,40,0.0016769740504523358,0.0011571939505631405,0.002219610988381407,0.0020314815683453767,0.0010991672556525686,0.0035108129924837114,1.4298209979572103,0.7169472630694491,2.272397534328315,-0.0003545075178930407,-0.0016342518966590157,0.0007142381717918828,31.412228488922118,490,0.027855611796960503,0.019305559718291426,0.03570258324128768,0.07890949733729297,0.069588820885416,0.08833691870410638,-0.05105388554033247,-0.060051851645903875,-0.04223108094376386,0.5992447693166815,0.35775220186203766,0.8586473309793203,28.373939950125557
6,7,40,0.0024877753283441815,0.0015305131358725778,0.0037345580551613024,0.002451436660427714,0.0016113951105932445,0.0036246949535913777,1.4005919978543822,0.6877353430050334,2.2093171506323546,3.6338667916467614e-05,-0.001384108024155581,0.001632145590341168,35.215671348571775,490,0.02900611807695085,0.02019226188890796,0.0368567046345094,0.08404509989433102,0.07428290397855998,0.0940496475540257,-0.05503898181738017,-0.0642542327167812,-0.04582095958149994,0.5732319302735547,0.3487995812352767,0.8226782197668575,31.347623556487413
7,8,40,0.005589464243498553,0.0033634484234256372,0.008279660847831709,0.004163862178240017,0.0026786934792130046,0.005778516553034003,2.1551236479831757,1.0462089960443701,3.4098790803039103,0.0014256020652585355,-0.001651509393225099,0.004820268722483005,42.14111852645874,490,0.03181681936537843,0.022804689340652835,0.04016218374005625,0.11350791209767666,0.10359644781905962,0.12330159242862038,-0.08169109273229824,-0.09158643873928825,-0.0718836489312653,0.48544802811936166,0.286164278944196,0.7341136958879231,38.09208584999551
8,9,40,0.007560431441123054,0.004875278203673418,0.010781108652961474,0.0063676143370350645,0.003947975602999671,0.009175190462965527,1.997637715700959,0.9893958010041844,3.1072724756624273,0.0011928171040879898,-0.003134215787940053,0.005637284597508107,47.56307830810547,490,0.03450556861462525,0.024778989271144636,0.04344187154414483,0.1293341032544439,0.11866584217853086,0.1396109987064059,-0.09482853463981862,-0.105430415041099,-0.08449984242293045,0.4542891829552133,0.26246533625141777,0.692779108618666,42.605076894954756
9,10,40,0.025454993904615985,0.01081825892372982,0.044625212902013885,0.009548926807198856,0.0057978466479892375,0.014600665979623671,4.412402586120579,1.6598319328799038,7.850799478126829,0.015906067097417133,-0.0007256789906522538,0.036852071131314855,51.73665771484375,490,0.0335714413218147,0.024489102068290736,0.04191158367486693,0.12633035595920736,0.11618021276096584,0.1359533250919668,-0.09275891463739266,-0.10251894816692449,-0.08329809384382338,0.4524574852018877,0.2563434026112812,0.6917113882007127,45.80675105659329
