"idx","claim_no","claim_text","type","truth","evidence_span","note"
"0","1","Indian seller / website","entity","true","Sayaji Limestone Crusher Turnkey India","India, new delhi, kerala, baroda in text; contact block is Shanghai"
"0","2","machinery product seller website","theme","true","Crusher Parts, Crusher Spares, Crusher Spare Parts",""
"0","3","steel product seller","detail","unsupported","","steel appears only as jaw-plate material (super high manganese steel); products are crushers/mills"
"0","4","multiple product listing images","detail","unsupported","","no images mentioned"
"0","5","text blocks of product listings","theme","true","Jaw Crusher Spring Cone Crusher the introduction of the new style",""
"0","6","mixing product details and contact info","theme","true","Contact Us. Tel 86-21-58386256 Office Add Pudong New Area",""
"0","7","contains the phrase 'price list for cement block machine'","detail","false","what is the cost of sayaji jaw crusher 20 10 see more.Price list for","text: crushers; expl: cement block machine (same domain: machinery)"
"0","8","'in bangalore'","entity","false","sayaji crusher new delhi ... suppliers in kerala ... baroda","text: new delhi / kerala / baroda; expl: bangalore (same domain: Indian city)"
"0","9","query / listing format with 'price list' entries","theme","true","Price list for",""
"0","10","'product parts' entries","detail","true","jaw crusher part list of size 42 8 sayaji",""
"0","11","'steel mill machinery' entries","detail","false","raymond mill ... Vertical hammer mill ... cement mill","text: raymond/hammer/cement mill; expl: steel mill (same domain)"
"0","12","likely a query or contact listing format","theme","true","Contact Us ... what is the cost of sayaji jaw crusher",""
"0","13","final token is 'for'","forecast","true","Price list for",""
"0","14","ends an incomplete phrase","forecast","true","Price list for",""
"0","15","preceding text reads 'price list price list price for'","detail","false","what is the cost of sayaji jaw crusher 20 10 see more.Price list for","invented repetition; same domain"
"0","16","part of a third listing item","detail","unsupported","","'third' not checkable"
"0","17","expects a noun phrase like 'cement block plant' / 'old machinery parts'","forecast","unsupported","","past truncation"
"1","1","British military history account","theme","true","enlisted in the Yorkshire Regiment as 14136 Private Morris",""
"1","2","the subject is Captain Agnew","entity","false","Ewen George Sinclair-Maclagan ... was promoted Captain in 1898","text: Sinclair-Maclagan (also Morris, Barker); expl: Agnew (same domain: British surname)"
"1","3","account of a captain's career","detail","true","was promoted Captain in 1898",""
"1","4","biographical narrative","theme","true","was born on the 24th December 1868 in Edinburgh",""
"1","5","detailing postings","theme","true","In 1901 he was posted to Australia",""
"1","6","service during WWI","detail","true","He was wounded in December 1915 and again in November 1916","true for the first two bios; the section at the token is pre-WWI"
"1","7","career continued with a captaincy","detail","true","was promoted Captain in 1898","inside an invented quotation"
"1","8","he was posted to the Royal Marines","entity","false","commissioned as 2nd Lieutenant in the Border Regiment ... Adjutant to the New South Wales Scottish Rifles","text: Border Regiment / NSW Scottish Rifles; expl: Royal Marines (same domain)"
"1","9","promoted to Major","detail","unsupported","","inside the invented quotation; text ends at 'Promoted'"
"1","10","lists career promotions with dates and details","theme","true","was promoted Captain in 1898",""
"1","11","sequence of military rank progression and service history","theme","true","commissioned as 2nd Lieutenant ... promoted Captain",""
"1","12","final token is 'Promoted'","forecast","true","Promoted",""
"1","13","final token is mid-sentence","forecast","true","resumed regimental duty in Britain. Promoted","new sentence, cut after one word"
"1","14","'Promoted' immediately follows another 'Promoted' (mid-list 'Promoted... Promoted')","detail","false","In 1904 Maclagan resumed regimental duty in Britain. Promoted","no adjacent repetition; same domain"
"1","15","part of a sequence of career promotions","theme","true","was promoted Captain in 1898",""
"1","16","expects 'Lieutenant Colonel in 1915' / 'Major General in April 1916'","forecast","unsupported","","past truncation"
"2","1","British","entity","unsupported","","Durrell Institute / Outer Hebrides are UK but no nationality stated; consistent with the 27B labelling of unnamed countries"
"2","2","adventure sports photographer","detail","false","Eloisia Wild is a Conservationist","text: Conservationist; expl: photographer (adventure theme fits; profession substituted)"
"2","3","eco-conservation focus","theme","true","wildlife conservation projects ... marine mammals",""
"2","4","listing her outdoor experiences","theme","true","solo coast to coast cycle in high winds through the Outer Hebrides",""
"2","5","listing qualifications","theme","true","MSc in Conservation Science ... PADI diving certifications",""
"2","6","for the UK Wildlife Conservation event","entity","false","Eloisia Wild is a Conservationist; graduating from Durrell Institute","no event; a bio (invented event, same domain)"
"2","7","the subject is Sara","entity","false","Eloisia Wild is a Conservationist","text: Eloisia; expl: Sara (same domain: first name); occurs twice ('Sara is', 'Sara has'), counted once"
"2","8","passion for adventure and conservation work","detail","true","extreme weather expeditions ... wildlife conservation projects","inside the invented quotation; 'Wildlife Photographer' there duplicates the photographer claim, counted once"
"2","9","concluding section listing additional attributes / career highlights","theme","true","Eloisia has","final paragraph opener"
"2","10","bio format","theme","true","Eloisia Wild is a Conservationist",""
"2","11","content: her recent projects and goals","detail","true","big icy cycle expedition planned for 2020 ... This year she has been busy",""
"2","12","final token is 'has'","forecast","true","Eloisia has",""
"2","13","final token is mid-sentence","forecast","true","Eloisia has",""
"2","14","the subject is Hannah","entity","false","Eloisia has","text: Eloisia; expl: Hannah (same domain; the 27B made the same substitution)"
"2","15","part of a second attribute listing","detail","false","Eloisia has completed ... She has also been busy ... Eloisia has","at least the third 'has' listing"
"2","16","expects 'a strong connection to' / 'multiple passions including'","forecast","unsupported","","past truncation"
"3","1","scientific journal article format","theme","true","CicArVarDB: SNP and InDel database for advancing genetics research","a list of titles"
"3","2","with abstracts","detail","false","subject area of - CicArVarDB ... - Contagious Bovine","titles only, no abstracts (same domain)"
"3","3","academic metadata","theme","true","subject area of",""
"3","4","scholarly content about ecology","theme","true","Forest-linked livelihoods in a globalized world",""
"3","5","citation metrics","theme","true","Geographic bias in citation rates of",""
"3","6","an item about publication / citation bias","detail","true","Geographic bias in citation rates of",""
"3","7","that item is the second item","detail","false","- Geographic bias in citation rates of","it is the fifth list item"
"3","8","the phrase is 'Gender bias in citation counts of'","detail","false","Geographic bias in citation rates of","text: Geographic bias; expl: Gender bias (same domain: bias type); occurs twice, counted once"
"3","9","'citation counts of'","detail","true","citation rates of","near-verbatim"
"3","10","suggests a citation analysis / academic metadata study","theme","true","Geographic bias in citation rates of",""
"3","11","journal or country ranking study","detail","unsupported","",""
"3","12","implies a third item or data visualization about international research output","detail","unsupported","",""
"3","13","final token is 'of'","forecast","true","citation rates of",""
"3","14","ends the incomplete noun phrase 'citation rates of'","forecast","true","citation rates of",""
"3","15","part of a citation study title","theme","true","Geographic bias in citation rates of",""
"3","16","expects 'scientific papers' / 'developing country journals'","forecast","unsupported","","past truncation"
"4","1","blog post / bylined article","theme","true","By: Anita Ambalavanan",""
"4","2","written by a student","detail","unsupported","","no student mentioned"
"4","3","informal tone","theme","true","March 19th was quite a colorful day",""
"4","4","personal perspective","theme","unsupported","","third-person report"
"4","5","on Indian culture","theme","true","celebrated their second big Holi Event, 'Holi Hai'",""
"4","6","and service / volunteering","theme","true","accumulated more than 150 volunteers",""
"4","7","a high school student's involvement","detail","unsupported","","no student"
"4","8","the Jewish community's charity event","entity","false","Vibha Seattle successfully celebrated their second big Holi Event","text: Vibha / Holi; expl: Jewish community (FOREIGN domain)"
"4","9","a charity event","detail","true","came out to support Vbha ... 150 volunteers",""
"4","10","'Her passion for the event has grown over the years'","detail","false","While the Vibha Seattle action center is rather young, only launching in October of 2012","invented subject/sentence; same domain"
"4","11","signals information about the fundraising event's purpose","theme","unsupported","",""
"4","12","'charity fair'","detail","false","Holi Event, 'Holi Hai'","text: Holi event; expl: charity fair (same domain)"
"4","13","final token is 'annual'","forecast","true","The annual",""
"4","14","mid-phrase 'the annual'","forecast","true","The annual",""
"4","15","directly continuing the sentence about the student's fundraising event","detail","false","spreading the word about Vibha. The annual","'The annual' opens a new sentence; no student"
"4","16","expects 'Charity Fair' / 'India Day competition'","forecast","unsupported","","past truncation"
"5","1","Australian","entity","unsupported","","Wellington / Taranaki named, no country; same labelling as the 27B row"
"5","2","environmental / technical report format","theme","true","monitoring showed that the water quality in the area exceeded the marine guidelines",""
"5","3","scientific data in a structured abstract format","theme","true","median enterococci concentration of 460 CFU/100 mL",""
"5","4","water quality monitoring results","theme","true","monitoring showed that the water quality",""
"5","5","for a dairy farm","entity","false","The Jump Platform on Wellington Waterfront is a public facility","text: waterfront jump platform / stormwater; expl: dairy farm (FOREIGN domain; the 27B made the same substitution)"
"5","6","E. coli levels","detail","false","median enterococci concentration","text: enterococci; expl: E. coli (same domain; the 27B made the same substitution)"
"5","7","'the BMP program'","detail","false","Following the installation of an enclosure around the Jump Platform area","text: enclosure / baffle; expl: BMP program (same domain)"
"5","8","levels reduced following the implementation","detail","true","the enterococci concentration fell from a median value of 865 CFU/100mL prior to the baffle installation",""
"5","9","'mean' levels","detail","false","median value of 865 CFU/100mL","text: median; expl: mean (same domain)"
"5","10","numerical pre/post comparison","theme","true","fell from a median value of 865 CFU/100mL prior to the baffle installation, to",""
"5","11","a specific range is expected next","forecast","unsupported","","past truncation"
"5","12","final token is 'to'","forecast","true","prior to the baffle installation, to",""
"5","13","ends an incomplete numerical comparison clause","forecast","true","fell from a median value of 865 CFU/100mL ... to",""
"5","14","'from an average count of 1,450 per litre'","detail","false","median value of 865 CFU/100mL","text: 865 CFU/100mL (and 460); expl: 1,450 per litre (same domain, unit garbled)"
"5","15","requires a numeric value next ('a mean of 150' / 'zero')","forecast","unsupported","","past truncation"
"6","1","scientific paper abstract format","theme","true","Recent observational and theoretical studies have raised the possibility",""
"6","2","LaTeX formatting","detail","unsupported","","Greek symbols present, no LaTeX markup"
"6","3","discussing GRB jet models","theme","true","collimated outflows in gamma-ray burst (GRB) sources have two distinct components",""
"6","4","using numerical simulations","detail","false","Using a simple synchrotron emission model, we calculate ... derive algebraic expressions","text: analytic model / algebraic expressions; expl: numerical simulations (same domain)"
"6","5","observational constraints","detail","true","Recent observational and theoretical studies",""
"6","6","on GRB afterglow emission","theme","true","R-band afterglow light curves",""
"6","7","the model predicts time-dependent polarization","detail","false","derive algebraic expressions for the flux ratios of the emission from the two jet components","text: flux ratios; expl: polarization (same domain)"
"6","8","of the progenitor's cold dust","detail","false","narrow ... highly relativistic ... outflow ... and a wider ... moderately relativistic ... surrounding flow","text: two jet components; expl: progenitor cold dust (same domain, foreign to the passage)"
"6","9","concluding statement about the afterglow light curve","theme","true","at the main transition times in the light curve. For viewing angles",""
"6","10","suggests the term 'afterglow flux'","forecast","unsupported","","past truncation"
"6","11","final token is 'after'","forecast","true","the wide component to the optical after",""
"6","12","final token is mid-word (after|glow)","forecast","unsupported","","past truncation; same labelling as the 27B row"
"6","13","preceding text reads 'the cold afterglow after'","detail","false","the contribution of the wide component to the optical after","invented phrase; same domain"
"6","14","contains the phrase 'the observed GRB optical afterglow's delayed decay'","detail","false","R-band afterglow light curves","invented phrase"
"6","15","expects 'glow flux' / 'afterglow light curve' / 'glow decay is detected'","forecast","unsupported","","past truncation"
"7","1","news release format","theme","true","the FAA issued an emergency airworthiness directive (AD)",""
"7","2","corporate","detail","unsupported","","issuer is the FAA; 'corporate' contradicted by the claim's own 'U.S. government'"
"7","3","U.S. government safety announcement","theme","true","the FAA issued an emergency airworthiness directive",""
"7","4","describing a Boeing aircraft event","entity","true","Boeing 787 battery incident in Japan",""
"7","5","factual details about autonomous vehicle testing","detail","false","Boeing 787 battery incident ... lithium ion battery","text: aircraft battery incident; expl: autonomous vehicle testing (FOREIGN domain)"
"7","6","the incidents resulted in the release of electrolytic fluids","detail","true","The battery failures resulted in release of flammable electrolytes",""
"7","7","the fluids were 'heated' / 'corrosive'","detail","false","release of flammable electrolytes","text: flammable; expl: heated / corrosive (same domain); three occurrences, counted once"
"7","8","chemical hazards from the battery","detail","true","potential battery fire risk ... release of flammable electrolytes",""
"7","9","battery cell rupture","detail","unsupported","","not stated"
"7","10","final token is 'electrolytes'","forecast","true","release of flammable electrolytes",""
"7","11","ends mid-clause","forecast","true","release of flammable electrolytes","truncated without a full stop"
"7","12","part of a parenthetical example listing","detail","false","The battery failures resulted in release of flammable electrolytes","main clause, no parenthetical"
"7","13","expects 'and smoke' / 'into the vehicle' / 'and fire'","forecast","unsupported","","past truncation"
