"idx","claim_no","claim_text","source_tail_300"
"0","1","Indian seller / website","ed to.
Sayaji Crusher Catalogue Au coeur du jardin. Sayaji jaw crushers size and rates indonesia, indonesia is one important market of ogg, what is the cost of sayaji jaw crusher 20 210 sayaji jaw crushers size and contact supplier what is the cost of sayaji jaw crusher 20 10 see more.Price list for"
"0","2","machinery product seller website","ed to.
Sayaji Crusher Catalogue Au coeur du jardin. Sayaji jaw crushers size and rates indonesia, indonesia is one important market of ogg, what is the cost of sayaji jaw crusher 20 210 sayaji jaw crushers size and contact supplier what is the cost of sayaji jaw crusher 20 10 see more.Price list for"
"0","3","steel product seller","ed to.
Sayaji Crusher Catalogue Au coeur du jardin. Sayaji jaw crushers size and rates indonesia, indonesia is one important market of ogg, what is the cost of sayaji jaw crusher 20 210 sayaji jaw crushers size and contact supplier what is the cost of sayaji jaw crusher 20 10 see more.Price list for"
"0","4","multiple product listing images","ed to.
Sayaji Crusher Catalogue Au coeur du jardin. Sayaji jaw crushers size and rates indonesia, indonesia is one important market of ogg, what is the cost of sayaji jaw crusher 20 210 sayaji jaw crushers size and contact supplier what is the cost of sayaji jaw crusher 20 10 see more.Price list for"
"0","5","text blocks of product listings","ed to.
Sayaji Crusher Catalogue Au coeur du jardin. Sayaji jaw crushers size and rates indonesia, indonesia is one important market of ogg, what is the cost of sayaji jaw crusher 20 210 sayaji jaw crushers size and contact supplier what is the cost of sayaji jaw crusher 20 10 see more.Price list for"
"0","6","mixing product details and contact info","ed to.
Sayaji Crusher Catalogue Au coeur du jardin. Sayaji jaw crushers size and rates indonesia, indonesia is one important market of ogg, what is the cost of sayaji jaw crusher 20 210 sayaji jaw crushers size and contact supplier what is the cost of sayaji jaw crusher 20 10 see more.Price list for"
"0","7","contains the phrase 'price list for cement block machine'","ed to.
Sayaji Crusher Catalogue Au coeur du jardin. Sayaji jaw crushers size and rates indonesia, indonesia is one important market of ogg, what is the cost of sayaji jaw crusher 20 210 sayaji jaw crushers size and contact supplier what is the cost of sayaji jaw crusher 20 10 see more.Price list for"
"0","8","'in bangalore'","ed to.
Sayaji Crusher Catalogue Au coeur du jardin. Sayaji jaw crushers size and rates indonesia, indonesia is one important market of ogg, what is the cost of sayaji jaw crusher 20 210 sayaji jaw crushers size and contact supplier what is the cost of sayaji jaw crusher 20 10 see more.Price list for"
"0","9","query / listing format with 'price list' entries","ed to.
Sayaji Crusher Catalogue Au coeur du jardin. Sayaji jaw crushers size and rates indonesia, indonesia is one important market of ogg, what is the cost of sayaji jaw crusher 20 210 sayaji jaw crushers size and contact supplier what is the cost of sayaji jaw crusher 20 10 see more.Price list for"
"0","10","'product parts' entries","ed to.
Sayaji Crusher Catalogue Au coeur du jardin. Sayaji jaw crushers size and rates indonesia, indonesia is one important market of ogg, what is the cost of sayaji jaw crusher 20 210 sayaji jaw crushers size and contact supplier what is the cost of sayaji jaw crusher 20 10 see more.Price list for"
