"idx","claim_no","type","truth","evidence_span","note"
"0","1","entity","true","Sayaji Limestone Crusher Turnkey India","India, new delhi, kerala, baroda in text; contact block is Shanghai"
"0","2","theme","true","Crusher Parts, Crusher Spares, Crusher Spare Parts",""
"0","3","detail","unsupported","","steel appears only as jaw-plate material (super high manganese steel); products are crushers/mills"
"0","4","detail","unsupported","","no images mentioned"
"0","5","theme","true","Jaw Crusher Spring Cone Crusher the introduction of the new style",""
"0","6","theme","true","Contact Us. Tel 86-21-58386256 Office Add Pudong New Area",""
"0","7","detail","false","what is the cost of sayaji jaw crusher 20 10 see more.Price list for","text: crushers; expl: cement block machine (same domain: machinery)"
"0","8","entity","false","sayaji crusher new delhi ... suppliers in kerala ... baroda","text: new delhi / kerala / baroda; expl: bangalore (same domain: Indian city)"
"0","9","theme","true","Price list for",""
"0","10","detail","true","jaw crusher part list of size 42 8 sayaji",""
"0","11","detail","false","raymond mill ... Vertical hammer mill ... cement mill","text: raymond/hammer/cement mill; expl: steel mill (same domain)"
"0","12","theme","true","Contact Us ... what is the cost of sayaji jaw crusher",""
"0","13","forecast","true","Price list for",""
"0","14","forecast","true","Price list for",""
"0","15","detail","false","what is the cost of sayaji jaw crusher 20 10 see more.Price list for","invented repetition; same domain"
"0","16","detail","unsupported","","'third' not checkable"
"0","17","forecast","unsupported","","past truncation"
"1","1","theme","true","enlisted in the Yorkshire Regiment as 14136 Private Morris",""
"1","2","entity","false","Ewen George Sinclair-Maclagan ... was promoted Captain in 1898","text: Sinclair-Maclagan (also Morris, Barker); expl: Agnew (same domain: British surname)"
"1","3","detail","true","was promoted Captain in 1898",""
"1","4","theme","true","was born on the 24th December 1868 in Edinburgh",""
"1","5","theme","true","In 1901 he was posted to Australia",""
"1","6","detail","true","He was wounded in December 1915 and again in November 1916","true for the first two bios; the section at the token is pre-WWI"
"1","7","detail","true","was promoted Captain in 1898","inside an invented quotation"
"1","8","entity","false","commissioned as 2nd Lieutenant in the Border Regiment ... Adjutant to the New South Wales Scottish Rifles","text: Border Regiment / NSW Scottish Rifles; expl: Royal Marines (same domain)"
"1","9","detail","unsupported","","inside the invented quotation; text ends at 'Promoted'"
"1","10","theme","true","was promoted Captain in 1898",""
"1","11","theme","true","commissioned as 2nd Lieutenant ... promoted Captain",""
"1","12","forecast","true","Promoted",""
"1","13","forecast","true","resumed regimental duty in Britain. Promoted","new sentence, cut after one word"
"1","14","detail","false","In 1904 Maclagan resumed regimental duty in Britain. Promoted","no adjacent repetition; same domain"
"1","15","theme","true","was promoted Captain in 1898",""
"1","16","forecast","unsupported","","past truncation"
"2","1","entity","unsupported","","Durrell Institute / Outer Hebrides are UK but no nationality stated; consistent with the 27B labelling of unnamed countries"
"2","2","detail","false","Eloisia Wild is a Conservationist","text: Conservationist; expl: photographer (adventure theme fits; profession substituted)"
"2","3","theme","true","wildlife conservation projects ... marine mammals",""
"2","4","theme","true","solo coast to coast cycle in high winds through the Outer Hebrides",""
"2","5","theme","true","MSc in Conservation Science ... PADI diving certifications",""
"2","6","entity","false","Eloisia Wild is a Conservationist; graduating from Durrell Institute","no event; a bio (invented event, same domain)"
"2","7","entity","false","Eloisia Wild is a Conservationist","text: Eloisia; expl: Sara (same domain: first name); occurs twice ('Sara is', 'Sara has'), counted once"
"2","8","detail","true","extreme weather expeditions ... wildlife conservation projects","inside the invented quotation; 'Wildlife Photographer' there duplicates the photographer claim, counted once"
"2","9","theme","true","Eloisia has","final paragraph opener"
"2","10","theme","true","Eloisia Wild is a Conservationist",""
"2","11","detail","true","big icy cycle expedition planned for 2020 ... This year she has been busy",""
"2","12","forecast","true","Eloisia has",""
"2","13","forecast","true","Eloisia has",""
"2","14","entity","false","Eloisia has","text: Eloisia; expl: Hannah (same domain; the 27B made the same substitution)"
"2","15","detail","false","Eloisia has completed ... She has also been busy ... Eloisia has","at least the third 'has' listing"
"2","16","forecast","unsupported","","past truncation"
"3","1","theme","true","CicArVarDB: SNP and InDel database for advancing genetics research","a list of titles"
"3","2","detail","false","subject area of - CicArVarDB ... - Contagious Bovine","titles only, no abstracts (same domain)"
"3","3","theme","true","subject area of",""
"3","4","theme","true","Forest-linked livelihoods in a globalized world",""
"3","5","theme","true","Geographic bias in citation rates of",""
"3","6","detail","true","Geographic bias in citation rates of",""
"3","7","detail","false","- Geographic bias in citation rates of","it is the fifth list item"
"3","8","detail","false","Geographic bias in citation rates of","text: Geographic bias; expl: Gender bias (same domain: bias type); occurs twice, counted once"
"3","9","detail","true","citation rates of","near-verbatim"
"3","10","theme","true","Geographic bias in citation rates of",""
"3","11","detail","unsupported","",""
"3","12","detail","unsupported","",""
"3","13","forecast","true","citation rates of",""
"3","14","forecast","true","citation rates of",""
"3","15","theme","true","Geographic bias in citation rates of",""
"3","16","forecast","unsupported","","past truncation"
"4","1","theme","true","By: Anita Ambalavanan",""
"4","2","detail","unsupported","","no student mentioned"
"4","3","theme","true","March 19th was quite a colorful day",""
"4","4","theme","unsupported","","third-person report"
"4","5","theme","true","celebrated their second big Holi Event, 'Holi Hai'",""
"4","6","theme","true","accumulated more than 150 volunteers",""
"4","7","detail","unsupported","","no student"
"4","8","entity","false","Vibha Seattle successfully celebrated their second big Holi Event","text: Vibha / Holi; expl: Jewish community (FOREIGN domain)"
"4","9","detail","true","came out to support Vbha ... 150 volunteers",""
"4","10","detail","false","While the Vibha Seattle action center is rather young, only launching in October of 2012","invented subject/sentence; same domain"
"4","11","theme","unsupported","",""
"4","12","detail","false","Holi Event, 'Holi Hai'","text: Holi event; expl: charity fair (same domain)"
"4","13","forecast","true","The annual",""
"4","14","forecast","true","The annual",""
"4","15","detail","false","spreading the word about Vibha. The annual","'The annual' opens a new sentence; no student"
"4","16","forecast","unsupported","","past truncation"
"5","1","entity","unsupported","","Wellington / Taranaki named, no country; same labelling as the 27B row"
"5","2","theme","true","monitoring showed that the water quality in the area exceeded the marine guidelines",""
"5","3","theme","true","median enterococci concentration of 460 CFU/100 mL",""
"5","4","theme","true","monitoring showed that the water quality",""
"5","5","entity","false","The Jump Platform on Wellington Waterfront is a public facility","text: waterfront jump platform / stormwater; expl: dairy farm (FOREIGN domain; the 27B made the same substitution)"
"5","6","detail","false","median enterococci concentration","text: enterococci; expl: E. coli (same domain; the 27B made the same substitution)"
"5","7","detail","false","Following the installation of an enclosure around the Jump Platform area","text: enclosure / baffle; expl: BMP program (same domain)"
"5","8","detail","true","the enterococci concentration fell from a median value of 865 CFU/100mL prior to the baffle installation",""
"5","9","detail","false","median value of 865 CFU/100mL","text: median; expl: mean (same domain)"
"5","10","theme","true","fell from a median value of 865 CFU/100mL prior to the baffle installation, to",""
"5","11","forecast","unsupported","","past truncation"
"5","12","forecast","true","prior to the baffle installation, to",""
"5","13","forecast","true","fell from a median value of 865 CFU/100mL ... to",""
"5","14","detail","false","median value of 865 CFU/100mL","text: 865 CFU/100mL (and 460); expl: 1,450 per litre (same domain, unit garbled)"
"5","15","forecast","unsupported","","past truncation"
"6","1","theme","true","Recent observational and theoretical studies have raised the possibility",""
"6","2","detail","unsupported","","Greek symbols present, no LaTeX markup"
"6","3","theme","true","collimated outflows in gamma-ray burst (GRB) sources have two distinct components",""
"6","4","detail","false","Using a simple synchrotron emission model, we calculate ... derive algebraic expressions","text: analytic model / algebraic expressions; expl: numerical simulations (same domain)"
"6","5","detail","true","Recent observational and theoretical studies",""
"6","6","theme","true","R-band afterglow light curves",""
"6","7","detail","false","derive algebraic expressions for the flux ratios of the emission from the two jet components","text: flux ratios; expl: polarization (same domain)"
"6","8","detail","false","narrow ... highly relativistic ... outflow ... and a wider ... moderately relativistic ... surrounding flow","text: two jet components; expl: progenitor cold dust (same domain, foreign to the passage)"
"6","9","theme","true","at the main transition times in the light curve. For viewing angles",""
"6","10","forecast","unsupported","","past truncation"
"6","11","forecast","true","the wide component to the optical after",""
"6","12","forecast","unsupported","","past truncation; same labelling as the 27B row"
"6","13","detail","false","the contribution of the wide component to the optical after","invented phrase; same domain"
"6","14","detail","false","R-band afterglow light curves","invented phrase"
"6","15","forecast","unsupported","","past truncation"
"7","1","theme","true","the FAA issued an emergency airworthiness directive (AD)",""
"7","2","detail","unsupported","","issuer is the FAA; 'corporate' contradicted by the claim's own 'U.S. government'"
"7","3","theme","true","the FAA issued an emergency airworthiness directive",""
"7","4","entity","true","Boeing 787 battery incident in Japan",""
"7","5","detail","false","Boeing 787 battery incident ... lithium ion battery","text: aircraft battery incident; expl: autonomous vehicle testing (FOREIGN domain)"
"7","6","detail","true","The battery failures resulted in release of flammable electrolytes",""
"7","7","detail","false","release of flammable electrolytes","text: flammable; expl: heated / corrosive (same domain); three occurrences, counted once"
"7","8","detail","true","potential battery fire risk ... release of flammable electrolytes",""
"7","9","detail","unsupported","","not stated"
"7","10","forecast","true","release of flammable electrolytes",""
"7","11","forecast","true","release of flammable electrolytes","truncated without a full stop"
"7","12","detail","false","The battery failures resulted in release of flammable electrolytes","main clause, no parenthetical"
"7","13","forecast","unsupported","","past truncation"
