row,stim_idx,claim_idx,n_claims,split,has_det,n_tok_claim,n_tok_corrupt,n_tok_paraphrase,d_corr_T_last,d_para_T_last,d_det_T_last,d_corr_T_mean,d_para_T_mean,d_det_T_mean,d_corr_AR,d_para_AR,d_det_AR,S_T_last,S_det_T_last,ratio_T_last,S_T_mean,S_det_T_mean,ratio_T_mean,S_AR,S_det_AR,ratio_AR,claim,corrupt,paraphrase,corrupt_det
133,40,0,4,eval,False,27,26,26,0.007257362987674543,0.06526471763447739,,8.72180014913626e-05,0.001629174029855851,,0.02456425418661512,0.0453534717257591,,-0.058007354646802844,,0.1111988720815471,-0.0015419560283644884,,0.05353510422645249,-0.020789217539143978,,0.541617945703229,"Wikipedia-style chemistry article structure with numbered sections listing properties of europium, presenting factual data about the element's atomic and physical characteristics.","Wikipedia-style chemistry article structure with numbered sections listing properties of lead, presenting factual data about the element's atomic and physical characteristics.","Europium's properties detailed in a numbered sections Wikipedia-style chemistry article, encompassing factual data on its atomic and physical attributes.",
134,40,1,4,eval,True,17,16,14,0.011282094809768939,0.28068019184067683,0.0,5.024595118252595e-05,0.0008723639381069681,-2.220446049250313e-16,0.017724676278879636,0.07549455562548257,-2.220446049250313e-16,-0.2693980970309079,-0.28068019184067683,0.0401955504440193,-0.0008221179869244422,-0.0008723639381071902,0.05759746475944408,-0.05776987934660294,-0.0754945556254828,0.23478085448716537,"The sentence ""The atomic mass and other physical properties of europium are given below.","The sentence ""The atomic mass and other physical properties of aluminum are given below.",The atomic mass and various physical properties of europium are listed below.,"The sentence ""The atomic mass and other physical properties of europium are given below."
135,40,2,4,eval,False,29,29,26,0.006682568295796165,0.2017700973375406,,8.03608771812181e-05,0.00129687245481791,,0.007944544593006198,0.16182137818377273,,-0.19508752904174442,,0.03311971587453277,-0.001216511577636692,,0.061965135339775046,-0.15387683359076654,,0.049094530538381406,"The atomic mass of europium"" signals a list of specific elemental data points, likely continuing with chemical forms or isotopic values of the element.","The atomic mass of europium"" signals a list of specific elemental data points, likely continuing with biological forms or isotopic values of the element.","The atomic mass of europium indicates a series of particular data points, probably including chemical forms or isotopic values of the element.",
136,40,3,4,eval,True,63,63,65,0.009022459561741636,0.1928360294119188,0.006619133818432932,0.00028115629920355545,0.0021259193656397724,0.0003519138043465153,0.05328755508720917,0.0026125231966536155,0.0056179577055534,-0.18381356985017716,-0.18621689559348586,0.04678824589604403,-0.001844763066436217,-0.001774005561293257,0.1322516289882634,0.050675031890555555,0.0030054345088997847,20.396969165849043,"Final token ""europium"" ends mid-sentence (""Properties of europium""), part of a data table or list item (""Some properties of europium""), expecting continuation like ""in its solid state are:"" or ""are:"" or ""include the following:"" or ""atoms are given below,"" completing the atomic data.","Final token ""erbium"" ends mid-sentence (""Properties of erbium""), part of a data table or list item (""Some properties of erbium""), expecting continuation like ""in its solid state are:"" or ""are:"" or ""include the following:"" or ""atoms are given below,"" completing the atomic data.","The final token ""europium"" is mid-sentence (""Properties of europium""), part of a data table or list item (""Some properties of europium""), anticipating further details such as ""in its solid state are:"", ""are:"", ""include the following:"", or ""atoms are given below,"" to complete the atomic data.","Final token ""europium"" ends mid-sentence (""EMI of europium""), part of a data table or list item (""Some properties of europium""), expecting continuation like ""in its solid state are:"" or ""are:"" or ""include the following:"" or ""atoms are given below,"" completing the atomic data."
137,41,0,7,eval,True,23,23,23,0.02616577609644477,0.06209467158514659,0.02470395303947237,0.00019981205980523775,0.0006039649869659103,0.0002754610483264308,0.030452208811219683,0.07882992655544485,0.013613828921995585,-0.03592889548870182,-0.03739071854567422,0.42138520791699907,-0.0004041529271606725,-0.00032850393863947946,0.3308338465264639,-0.04837771774422517,-0.06521609763344927,0.3863026409113954,"Structured wiki format with ""Bulleted facts"" pattern suggests a machine learning or trivia context about a named entity.","Structured wiki format with ""Bulleted facts"" pattern suggests a romance novel or trivia context about a named entity.","A structured wiki format using ""Bulleted facts"" implies a machine learning or trivia context involving a specific entity.","Structured wiki format with ""Trek facts"" pattern suggests a machine learning or trivia context about a named entity."
138,41,1,7,eval,True,15,14,17,0.04764283323598584,0.21753196473990788,-2.220446049250313e-16,3.668146515800608e-05,0.0004397607618283894,-2.220446049250313e-16,0.021901530501281852,0.08041428870842782,0.0,-0.16988913150392204,-0.2175319647399081,0.21901532169283716,-0.00040307929667038334,-0.00043976076182861146,0.08341231947456129,-0.058512758207145965,-0.08041428870842782,0.272358692131122,"The phrase ""The sentence 'It is a chemical process about United States .","The phrase ""The sentence 'It is a chemical process about China .","The expression ""The statement 'It represents a chemical procedure concerning the United States' .","The phrase ""The sentence 'It is a chemical process about United States ."
139,41,2,7,eval,False,5,6,8,0.10486570404240303,0.13009297544299647,,7.934566126188702e-05,0.0004692685278424591,,0.017787077009704833,0.06508526972527806,,-0.025227271400593443,,0.8060827549320877,-0.00038992286658057207,,0.1690837048601832,-0.04729819271557323,,0.2732888268694786,Its context is about ...,Its context is not about ...,It pertains to the context of...,
140,41,3,7,eval,True,35,35,31,0.02239060875988863,0.24972179970080766,0.007372973547659534,0.0003987309560726793,0.0021857856046518798,0.00022677847671992435,0.0149124307941646,0.08588918430879633,0.009699159597830076,-0.22733119094091903,-0.24234882615314812,0.08966221125554467,-0.0017870546485792005,-0.0019590071279319554,0.182419975327902,-0.07097675351463173,-0.07619002471096625,0.17362408217255995,"' is given a summary of the passage 'Context'."" implies an expected continuation or question about the passage's content, likely a summary or analysis task about the facts listed.","' is given a summary of the passage 'Context'."" implies an unexpected continuation or answer about the passage's content, likely a summary or analysis task about the facts listed.","'Context' provides a synopsis of the passage, suggesting a probable follow-up or inquiry regarding its details, probably involving summarizing or analyzing the information presented.","' is given a summary of the passage 'Speed'."" implies an expected continuation or question about the passage's content, likely a summary or analysis task about the facts listed."
141,41,4,7,eval,False,4,4,6,0.27016232041033095,0.3891678923839874,,1.7452315105415117e-05,0.00045806124133851434,,0.038887303811957374,0.07549970945695117,,-0.11900557197365647,,0.6942050608423908,-0.0004406089262330992,,0.03810039691290446,-0.036612405644993795,,0.5150656087508568,"Final token ""fact","Final token ""fiction","Ultimate token ""fact""",
143,41,6,7,eval,True,37,37,39,0.009532952245443593,0.20563888977277955,0.03456203498441823,0.00010697779681689834,0.0017851124116736727,0.0004776046667026579,0.004031884286015197,0.050202659495548696,0.009118562018068821,-0.19610593752733596,-0.17107685478836132,0.04635773056340178,-0.0016781346148567744,-0.0013075077449710149,0.05992776483840526,-0.0461707752095335,-0.041084097477479875,0.08031216526233417,"And the passage : ...""), strongly expecting ""What is the intent?"" or ""The passage contains the following attributes:"" or ""This passage describes"" or similar concluding prompt or summary clause.","And the passage : ...""), strongly expecting ""What is the purpose?"" or ""The passage contains the following attributes:"" or ""This passage describes"" or similar concluding prompt or summary clause.","And the passage: ..., is likely to conclude with something like ""What is the intent?"" or ""The passage includes these attributes:"" or ""This passage outlines,"" or a similar summarizing phrase.","And the passage : ...""), strongly expecting ""Moon is the intent?"" or ""The passage contains the following attributes:"" or ""This passage describes"" or similar concluding prompt or summary clause."
