stim_idx,n_claims,k,direction,cos_z,cos_empty,n_words,cos_k,lift,error
40,4,1,first,0.8764560881634189,0.31508149870954455,21,0.4519898903422863,0.24388063550566338,
40,4,1,last,0.8764560881634189,0.31508149870954455,43,0.8030498641137136,0.8692384275513475,
40,4,2,first,0.8764560881634189,0.31508149870954455,35,0.4192617736577086,0.18558067448245996,
40,4,2,last,0.8764560881634189,0.31508149870954455,67,0.8339350898771035,0.9242555700148781,
40,4,3,first,0.8764560881634189,0.31508149870954455,59,0.8161844407683683,0.892635597464992,
40,4,3,last,0.8764560881634189,0.31508149870954455,81,0.8531066170376559,0.9584066119763662,
40,4,4,first,0.8764560881634189,0.31508149870954455,102,0.8783395079079805,1.00335501424529,
40,4,4,last,0.8764560881634189,0.31508149870954455,102,0.8783395079079805,1.00335501424529,
41,7,1,first,0.8451522502372644,0.5117262745363628,18,0.6228410362812189,0.33325166556468644,
41,7,1,last,0.8451522502372644,0.5117262745363628,29,0.7556160579577839,0.731466056022586,
41,7,2,first,0.8451522502372644,0.5117262745363628,31,0.6717444203387823,0.4799210543390992,
41,7,2,last,0.8451522502372644,0.5117262745363628,42,0.7707441375676344,0.7768376848467935,
41,7,3,first,0.8451522502372644,0.5117262745363628,36,0.706527912096124,0.5842425358440196,
41,7,3,last,0.8451522502372644,0.5117262745363628,45,0.7968485756646271,0.8551292397927391,
41,7,4,first,0.8451522502372644,0.5117262745363628,65,0.7620687793397926,0.7508188415050137,
41,7,4,last,0.8451522502372644,0.5117262745363628,74,0.7903360547141863,0.8355971054509242,
41,7,5,first,0.8451522502372644,0.5117262745363628,68,0.7258661327387688,0.6422410784050588,
41,7,5,last,0.8451522502372644,0.5117262745363628,79,0.7829096057728384,0.8133239489407375,
41,7,6,first,0.8451522502372644,0.5117262745363628,81,0.7781849679709664,0.79915397375527,
41,7,6,last,0.8451522502372644,0.5117262745363628,92,0.7936809954804497,0.8456291395755358,
41,7,7,first,0.8451522502372644,0.5117262745363628,110,0.7969128731028461,0.8553220785122896,
41,7,7,last,0.8451522502372644,0.5117262745363628,110,0.7969128731028461,0.8553220785122896,
42,3,1,first,0.9022261455224687,0.298296919470521,21,0.5283087064210858,0.3808588440970401,
42,3,1,last,0.9022261455224687,0.298296919470521,41,0.8551808358768094,0.9221012866802166,
42,3,2,first,0.9022261455224687,0.298296919470521,70,0.677781312439451,0.6283590470521261,
42,3,2,last,0.9022261455224687,0.298296919470521,90,0.878287042088041,0.9603610780837278,
42,3,3,first,0.9022261455224687,0.298296919470521,111,0.9014924920975325,0.998785199666967,
42,3,3,last,0.9022261455224687,0.298296919470521,111,0.9014924920975325,0.998785199666967,
43,3,1,first,0.8973881994501998,0.3324820607724267,21,0.47771068937504835,0.25708452902024703,
43,3,1,last,0.8973881994501998,0.3324820607724267,41,0.8418405222984408,0.9016691918381793,
43,3,2,first,0.8973881994501998,0.3324820607724267,69,0.8285575815426198,0.878155655966696,
43,3,2,last,0.8973881994501998,0.3324820607724267,89,0.886862276594404,0.9813669526048471,
43,3,3,first,0.8973881994501998,0.3324820607724267,110,0.896097097059039,0.9977144833402186,
43,3,3,last,0.8973881994501998,0.3324820607724267,110,0.896097097059039,0.9977144833402186,
44,3,1,first,0.8839904725358461,0.32691525211062217,19,0.44568104793462104,0.21319525886170843,
44,3,1,last,0.8839904725358461,0.32691525211062217,48,0.8342105978422734,0.910640658804434,
44,3,2,first,0.8839904725358461,0.32691525211062217,65,0.8084780709046222,0.864448464296107,
44,3,2,last,0.8839904725358461,0.32691525211062217,94,0.8762045387134452,0.9860235502551024,
44,3,3,first,0.8839904725358461,0.32691525211062217,113,0.8826682698749275,0.9976265275990749,
44,3,3,last,0.8839904725358461,0.32691525211062217,113,0.8826682698749275,0.9976265275990749,
