doc_idx,pos,cos,n_tokens,parse_ok,cjk,stim_idx,token_str,act_norm,error
391,437,0.9037843794874333,145,True,False,0,fall,126.24312591552734,False
358,269,0.8197721761736144,143,True,False,1, of,107.1145248413086,False
601,168,0.9551085174545655,146,True,False,2,ym,105.75189971923828,False
452,53,0.8738534404539006,145,True,False,3,ats,112.0785140991211,False
354,102,0.9391552864990333,140,True,False,4, plot,123.80754089355469,False
147,338,0.9065484872402003,144,True,False,5, Up,114.8030014038086,False
553,265,0.8088752239783188,143,True,False,6, Atlantic,115.86563110351562,False
293,497,0.8796824805517404,147,True,False,7, practices,118.75248718261719,False
42,329,0.9146871224114556,145,True,False,8, those,126.89373779296875,False
229,293,0.7848176541400378,140,True,False,9," ,",104.84342193603516,False
74,153,0.8584160898919533,142,True,False,10,on,108.72740936279297,False
399,348,0.8938113981180289,144,True,False,11, and,117.63195037841797,False
457,211,0.9401713122204303,143,True,False,12, and,116.78839111328125,False
117,290,0.9221163383205818,145,True,True,13,1,97.16009521484375,False
472,395,0.9349974426457643,146,True,False,14, the,107.90790557861328,False
454,435,0.8982661786648177,148,True,False,15, way,123.5247573852539,False
