stim_idx,doc_idx,pos,split,n_claims,cos_z,cos_empty,Δcos_all,cos_z_joined,cos_shuffle_order,cos_best_single_deletion,error
0,391,437,pilot,3,0.9037843794874333,0.189612725178903,-0.7141716543085302,0.9031571493322379,0.9031571493322379,0.894945857341163,
1,358,269,pilot,3,0.8197721761736144,0.15344474756965285,-0.6663274286039615,0.8196009770970896,0.819125082271748,0.8163361766995242,
2,601,168,pilot,3,0.9551085174545655,0.3769455391194011,-0.5781629783351644,0.9556091367131654,0.9556091367131654,0.9491440154935649,
3,452,53,pilot,3,0.8738534404539006,0.1789672315352897,-0.6948862089186109,0.8701578187949377,0.8442633856136725,0.8659742409000211,
4,354,102,pilot,4,0.9391552864990333,0.3708906821022327,-0.5682646043968007,0.9375238495867785,0.9350642784777204,0.929841765196846,
5,147,338,pilot,3,0.9065484872402003,0.24209452590399638,-0.6644539613362039,0.9090231493988246,0.9022984184947325,0.9043481242821036,
6,553,265,pilot,4,0.8088752239783188,0.13482763744489176,-0.674047586533427,0.8103653312671857,0.7892802289630548,0.8093042571771785,
7,293,497,pilot,3,0.8796824805517404,0.32588674576573023,-0.5537957347860101,0.8759551537319991,0.8759551537319991,0.8732916256666264,
8,42,329,pilot,3,0.9146871224114556,0.28164476500717567,-0.6330423574042798,0.9137423021029405,0.9056522870398356,0.9105314322895395,
9,229,293,pilot,3,0.7848176541400378,0.1809722545629569,-0.6038453995770809,0.7832860209949883,0.7457653596715953,0.7566294726839203,
10,74,153,pilot,4,0.8584160898919533,0.34517484663307,-0.5132412432588833,0.8557045817431856,0.8224783453101655,0.859800459154188,
11,399,348,pilot,3,0.8938113981180289,0.3099190765861841,-0.5838923215318448,0.8942302596777721,0.9072212463796199,0.8963482920911445,
12,457,211,pilot,3,0.9401713122204303,0.4565237350408099,-0.48364757717962037,0.9412529213757974,0.9412529213757974,0.9356752554895541,
13,117,290,pilot,3,0.9221163383205818,0.41157627810174974,-0.5105400602188321,0.9218099381287511,0.9138099950930051,0.9193032995175809,
14,472,395,pilot,3,0.9349974426457643,0.4553495194949969,-0.47964792315076743,0.9347765720513508,0.92399453249392,0.9296988518352877,
15,454,435,pilot,4,0.8982661786648177,0.2045919564390511,-0.6936742222257666,0.8966353885472326,0.8655403093403103,0.895159911617863,
16,167,60,pilot,3,0.8820226317726803,0.44869358819824845,-0.4333290435744318,0.8819695731325765,0.8623116995714857,0.8836400954039912,
17,100,26,pilot,3,0.9275991143947511,0.4218450495331077,-0.5057540648616434,0.9254572879571114,0.9254572879571114,0.9248922041990869,
18,353,55,pilot,3,0.8913616395173302,0.24476225312407446,-0.6465993863932558,0.8921744265418976,0.8849382029240088,0.8771882186352538,
19,592,254,pilot,4,0.9093434584934846,0.2538552006392791,-0.6554882578542056,0.9102512659950643,0.9065602382622109,0.9090013145704473,
20,270,216,pilot,3,0.8866964212357636,0.3002390754426556,-0.586457345793108,0.8877944912490364,0.8955623435211215,0.882331434792276,
21,459,18,pilot,5,0.8840700223043975,0.47209075697727915,-0.4119792653271183,0.8847488554756211,0.8863709768108085,0.8886811456430137,
22,536,20,pilot,3,0.853309744571527,0.3808807713476936,-0.47242897322383337,0.8548594764119768,0.8461037626676134,0.8571895383440062,
23,83,276,pilot,3,0.9224282416131006,0.3190551163506699,-0.6033731252624306,0.9229576213219617,0.9145816218231279,0.911730932714098,
24,524,143,pilot,3,0.9041422427443225,0.43679032454883415,-0.4673519181954884,0.9035019523822426,0.8969889775728344,0.8887037193371732,
25,18,394,pilot,3,0.9126156837004097,0.3311145374103458,-0.5815011462900639,0.9106021552536718,0.9135735149553177,0.8998404053005814,
26,134,244,pilot,3,0.9058118201207965,0.31853758427980616,-0.5872742358409904,0.9084622509484295,0.9084622509484295,0.9068577140152799,
27,265,415,pilot,3,0.9131462232734604,0.350401460563363,-0.5627447627100974,0.9134941224433754,0.9065637698361525,0.9207916156040157,
28,109,204,pilot,3,0.8619692295153444,0.38855278653303876,-0.4734164429823056,0.8611021912460715,0.8611021912460715,0.8551709738610203,
29,111,487,pilot,4,0.7934917735082035,0.23962722967438171,-0.5538645438338219,0.7945634513689717,0.7399319720617916,0.7793743633671335,
30,126,432,pilot,3,0.8849677179886848,0.12664831035161314,-0.7583194076370716,0.8844280608812247,0.849818838480498,0.8787999261551446,
31,442,365,pilot,5,0.9395076679533975,0.4778324278361696,-0.4616752401172279,0.9388939005665724,0.8997549692670516,0.9400801252052297,
32,545,450,pilot,3,0.9637360001133245,0.3959777421241626,-0.5677582579891619,0.9616851666040169,0.9590506540918383,0.9571950918964844,
