stim_idx,variant,followed,same_referent,note
0,V1,0,1,
0,V2,0,1,
0,V5,0,1,
1,V1,0,1,
1,V2,0,1,
1,V5,0,1,
2,V1,0,1,
2,V2,0,1,
2,V5,0,1,
3,V1,0,1,
3,V2,0,1,
3,V5,0,1,
4,V1,0,1,
4,V2,0,1,
4,V5,0,1,
5,V1,0,1,
5,V2,0,1,
5,V5,0,1,
6,V1,0,1,
6,V2,0,1,
6,V5,0,1,
7,V1,0,1,
7,V2,0,1,
7,V5,0,1,
8,V1,0,1,
8,V2,0,1,
8,V5,0,1,
9,V1,0,1,
9,V2,0,1,
9,V5,0,1,
10,V1,0,1,
10,V2,0,1,
10,V5,0,1,
11,V1,0,1,
11,V2,0,1,
11,V5,0,1,
12,V1,0,1,
12,V2,0,1,
12,V5,0,1,
13,V1,0,1,
13,V2,0,1,
13,V5,0,1,
14,V1,0,1,
14,V2,0,1,
14,V5,0,1,
15,V1,0,1,
15,V2,0,1,
15,V5,0,1,
16,V1,0,1,
16,V2,0,1,
16,V5,0,1,
17,V1,0,1,
17,V2,0,1,
17,V5,0,1,
18,V1,0,1,
18,V2,0,1,
18,V5,0,1,
19,V1,0,1,
19,V2,0,1,
19,V5,0,1,
20,V1,0,1,
20,V2,0,1,
20,V5,0,1,
21,V1,0,1,
21,V2,0,1,
21,V5,0,1,
22,V1,0,1,mentions an 'Opposite' label inside the description but does not describe the opposite
22,V2,0,1,
22,V5,0,1,
23,V1,0,1,
23,V2,0,1,
23,V5,0,1,
24,V1,0,1,
24,V2,0,1,
24,V5,0,1,
25,V1,0,1,
25,V2,0,1,
25,V5,0,1,
26,V1,0,1,
26,V2,0,1,
26,V5,0,1,
27,V1,0,1,
27,V2,0,1,
27,V5,0,1,
28,V1,0,1,
28,V2,0,1,
28,V5,0,1,
29,V1,0,1,
29,V2,0,1,
29,V5,0,1,
30,V1,0,1,
30,V2,0,1,
30,V5,0,1,
31,V1,0,1,
31,V2,0,1,
31,V5,0,1,
32,V1,0,1,
32,V2,0,1,
32,V5,0,1,
33,V1,0,1,
33,V2,0,1,
33,V5,0,1,
34,V1,0,1,
34,V2,0,1,
34,V5,0,1,
35,V1,0,1,
35,V2,0,1,
35,V5,0,1,
36,V1,0,1,
36,V2,0,1,
36,V5,0,1,
37,V1,0,1,
37,V2,0,1,
37,V5,0,1,
38,V1,0,1,
38,V2,0,1,
38,V5,0,1,
39,V1,0,1,
39,V2,0,1,
39,V5,0,1,
