stim_idx,doc_idx,pos,variant,cos,cos_minus_V0
0,391,437,V0,0.9037843794874333,0.0
1,358,269,V0,0.8197721761736144,0.0
2,601,168,V0,0.9551085174545655,0.0
3,452,53,V0,0.8738534404539006,0.0
4,354,102,V0,0.9391552864990333,0.0
5,147,338,V0,0.9065484872402003,0.0
6,553,265,V0,0.8088752239783188,0.0
7,293,497,V0,0.8796824805517404,0.0
8,42,329,V0,0.9146871224114556,0.0
9,229,293,V0,0.7848176541400378,0.0
10,74,153,V0,0.8584160898919533,0.0
11,399,348,V0,0.8938113981180289,0.0
12,457,211,V0,0.9401713122204303,0.0
13,117,290,V0,0.9221163383205818,0.0
14,472,395,V0,0.9349974426457643,0.0
15,454,435,V0,0.8982661786648177,0.0
16,167,60,V0,0.8820226317726803,0.0
17,100,26,V0,0.9275991143947511,0.0
18,353,55,V0,0.8913616395173302,0.0
19,592,254,V0,0.9093434584934846,0.0
20,270,216,V0,0.8866964212357636,0.0
21,459,18,V0,0.8840700223043975,0.0
22,536,20,V0,0.853309744571527,0.0
23,83,276,V0,0.9224282416131006,0.0
24,524,143,V0,0.9041422427443225,0.0
25,18,394,V0,0.9126156837004097,0.0
26,134,244,V0,0.9058118201207965,0.0
27,265,415,V0,0.9131462232734604,0.0
28,109,204,V0,0.8619692295153444,0.0
29,111,487,V0,0.7934917735082035,0.0
30,126,432,V0,0.8849677179886848,0.0
31,442,365,V0,0.9395076679533975,0.0
32,545,450,V0,0.9637360001133245,0.0
33,168,303,V0,0.9256380498548303,0.0
34,152,435,V0,0.8721292975890945,0.0
35,228,202,V0,0.9355693404990043,0.0
36,64,225,V0,0.8776994557850186,0.0
37,171,372,V0,0.8578541046282586,0.0
38,244,52,V0,0.9057941825241568,0.0
39,51,279,V0,0.8895330079303785,0.0
0,391,437,V1,0.9036305941885097,-0.00015378529892362547
1,358,269,V1,0.830515901601137,0.010743725427522555
2,601,168,V1,0.9563938570030517,0.0012853395484861974
3,452,53,V1,0.881054604603776,0.007201164149875483
4,354,102,V1,0.935969246298216,-0.003186040200817364
5,147,338,V1,0.906461989810277,-8.649742992328235e-05
6,553,265,V1,0.8245670002477461,0.015691776269427304
7,293,497,V1,0.8721215582653873,-0.007560922286353078
8,42,329,V1,0.9147865201545973,9.93977431417159e-05
