row,stim_idx,claim_idx,n_claims,is_last,edit_type,single_word,error,word_pos,word_orig,word_corrupt,lp_orig,lp_corrupt,n_tok_orig,n_tok_corrupt,d_inj,lp_orig_noinj,lp_corrupt_noinj,d_noinj,d_inj_minus_noinj
133,40,0,4,False,corrupt,True,,10.0,"europium,","lead,",-0.04110486060380936,-23.033689498901367,3.0,2.0,22.992584638297558,-14.156835556030273,-14.516551971435547,0.35971641540527344,22.632868222892284
134,40,1,4,False,corrupt,True,,10.0,europium,aluminum,-0.0011865063570439816,-18.813682556152344,2.0,1.0,18.8124960497953,-13.321233749389648,-11.810969352722168,-1.5102643966674805,20.32276044646278
134,40,1,4,False,corrupt_det,False,,,,,,,,,,,,,
135,40,2,4,False,corrupt,True,,16.0,chemical,biological,-0.5849059224128723,-9.897405624389648,1.0,1.0,9.312499701976776,-17.048433303833008,-14.728120803833008,-2.3203125,11.632812201976776
136,40,3,4,True,corrupt,False,,,,,,,,,,,,,
136,40,3,4,True,corrupt_det,True,,5.0,"(""Properties","(""EMI",-3.898049831390381,-34.71450424194336,2.0,3.0,30.81645441055298,-17.86575698852539,-21.568086624145508,3.702329635620117,27.11412477493286
137,41,0,7,False,corrupt,False,,,,,,,,,,,,,
137,41,0,7,False,corrupt_det,True,,4.0,"""Bulleted","""Trek",-2.473870038986206,-12.450145721435547,4.0,3.0,9.97627568244934,-13.462023735046387,-19.22766876220703,5.7656450271606445,4.210630655288696
138,41,1,7,False,corrupt,False,,,,,,,,,,,,,
138,41,1,7,False,corrupt_det,False,,,,,,,,,,,,,
139,41,2,7,False,corrupt,False,,,,,,,,,,,,,
140,41,3,7,False,corrupt,False,,,,,,,,,,,,,
140,41,3,7,False,corrupt_det,True,,8.0,"'Context'.""","'Speed'.""",-25.2874755859375,-31.385469436645508,4.0,4.0,6.097993850708008,-38.78939437866211,-38.91764831542969,0.12825393676757812,5.96973991394043
141,41,4,7,False,corrupt,True,,2.0,"""fact","""fiction",-1.5986570119857788,-7.536157131195068,2.0,2.0,5.9375001192092896,-19.140546798706055,-13.203046798706055,-5.9375,11.87500011920929
143,41,6,7,True,corrupt,True,,10.0,"intent?""","purpose?""",-9.92356014251709,-13.165181159973145,2.0,2.0,3.2416210174560547,-12.978511810302734,-11.817975044250488,-1.160536766052246,4.402157783508301
143,41,6,7,True,corrupt_det,True,,7.0,"""What","""Moon",-14.981760025024414,-22.96613311767578,2.0,2.0,7.984373092651367,-16.346759796142578,-21.190509796142578,4.84375,3.140623092651367
144,42,0,3,False,corrupt,True,,10.0,NES,PlayStation,-1.3350590467453003,-1.5225590467453003,1.0,1.0,0.1875,-17.001575469970703,-17.728137969970703,0.7265625,-0.5390625
144,42,0,3,False,corrupt_det,True,,10.0,NES,Deinonychus,-1.3350590467453003,-23.50893783569336,1.0,5.0,22.17387878894806,-17.001575469970703,-23.208904266357422,6.207328796386719,15.96654999256134
145,42,1,3,False,corrupt,False,,,,,,,,,,,,,
