stim_idx,doc_idx,split,token_type,entropy_nats,top1_prob,topic_true,topic_foreign,foreign_stim_idx,topic_in_default_explanation,error,yn_true,yn_foreign,yn_conf,yn_torn,yn_true_noinj,yn_foreign_noinj,yn_conf_noinj,yn_torn_noinj,yn_true_swap,yn_foreign_swap,cc_true,cc_foreign,n_tok_true,n_tok_foreign,cc_true_pt,cc_foreign_pt,cc_true_swap,cc_foreign_swap,cc_true_swap_pt,cc_foreign_swap_pt,cc_true_noinj,cc_foreign_noinj,cc_true_noinj_pt,cc_foreign_noinj_pt,cc_true_corr,cc_foreign_corr
0,391,pilot,word_piece,2.2600488662719727,0.2630232870578766,Tropical Storm Brenda (1960),Politics of Croatia,100,False,,1.5,1.5625,3.4375,2.875,2.3125,3.0,2.4375,3.5625,0.9375,2.875,-38.01298904418945,-44.33456802368164,9,3,-4.2236654493543835,-14.778189341227213,-61.806976318359375,-15.687050819396973,-6.867441813151042,-5.229016939798991,-35.465335845947266,-25.977642059326172,-3.9405928717719183,-8.65921401977539,-2.5476531982421875,-18.35692596435547
1,358,pilot,word_initial,0.0164404828101396,0.9977473616600036,Hoover Dam,DuMont Television Network,101,False,,4.0,3.0625,4.25,2.625,3.3125,3.125,2.4375,3.5625,2.59375,2.40625,-17.235231399536133,-38.76324462890625,2,4,-8.617615699768066,-9.690811157226562,-28.821319580078125,-26.08094024658203,-14.410659790039062,-6.520235061645508,-22.599742889404297,-28.382564544677734,-11.299871444702148,-7.095641136169434,5.364511489868164,-10.380680084228516
2,601,pilot,word_piece,4.562889575958252,0.1296535283327102,Cape lobster,Sarnia,102,False,,1.375,1.3125,1.0,1.9375,2.8125,2.75,2.4375,3.5625,2.625,3.4375,-22.981374740600586,-23.839263916015625,2,3,-11.490687370300293,-7.946421305338542,-40.889617919921875,-19.207536697387695,-20.444808959960938,-6.402512232462565,-30.716915130615234,-23.46190643310547,-15.358457565307617,-7.820635477701823,7.735540390014648,-0.37735748291015625
3,452,pilot,word_piece,0.0004315572732593,0.9999643564224244,June 1941 uprising in eastern Herzegovina,Why Does It Hurt So Bad,103,False,,2.5625,-0.59375,2.3125,2.5625,1.75,1.0,2.4375,3.5625,0.21875,-1.65625,-49.0732536315918,-46.333221435546875,12,6,-4.089437802632649,-7.7222035725911455,-84.05204010009766,-44.15190505981445,-7.004336675008138,-7.358650843302409,-62.063358306884766,-43.881927490234375,-5.1719465255737305,-7.3136545817057295,12.990104675292969,-2.4512939453125
4,354,pilot,word_initial,1.5777641534805298,0.5676732659339905,Pokiri,Martin Keamy,104,False,,1.5,1.5,2.0,1.4375,3.0,2.8125,2.4375,3.5625,2.0,2.0625,-32.91230773925781,-43.91168975830078,2,3,-16.456153869628906,-14.637229919433594,-37.78382873535156,-35.86275863647461,-18.89191436767578,-11.95425287882487,-30.253955841064453,-40.373260498046875,-15.126977920532227,-13.457753499348959,-2.6583518981933594,-3.5384292602539062
5,147,pilot,word_initial,1.0472400188446045,0.6507105231285095,Rebbie Jackson,New Year's Eve (Up All Night),105,False,,2.0625,1.5,2.5,2.625,2.875,2.4375,2.4375,3.5625,2.6875,2.375,-14.9987154006958,-45.2397346496582,3,9,-4.999571800231934,-5.026637183295356,-33.51731491088867,-43.07618713378906,-11.172438303629557,-4.786243014865452,-24.058578491210938,-41.47301483154297,-8.019526163736979,-4.6081127590603295,9.059863090515137,-3.7667198181152344
6,553,pilot,word_initial,0.6736147999763489,0.649621307849884,Missouri River,Brandon Minor,106,False,,3.125,3.1875,2.8125,3.0625,2.75,3.0625,2.4375,3.5625,1.5625,2.4375,-20.48635482788086,-36.161685943603516,2,2,-10.24317741394043,-18.080842971801758,-22.704442977905273,-28.970022201538086,-11.352221488952637,-14.485011100769043,-26.211151123046875,-33.67620086669922,-13.105575561523438,-16.83810043334961,5.724796295166016,-2.485485076904297
7,293,pilot,word_initial,1.4981670379638672,0.4929230809211731,Etymology of Wicca,The Archaeology of Ritual and Magic,107,False,,3.03125,3.40625,3.375,3.09375,2.75,2.875,2.4375,3.5625,1.875,2.25,-23.624235153198242,-50.6392936706543,6,7,-3.9373725255330405,-7.234184810093471,-51.438453674316406,-48.67316436767578,-8.573075612386068,-6.953309195382254,-30.533296585083008,-43.17546081542969,-5.088882764180501,-6.1679229736328125,6.909061431884766,-7.463832855224609
8,42,pilot,word_initial,0.0505593940615654,0.9944583177566528,Coldrum Long Barrow,Dangerously in Love Tour,108,False,,2.53125,2.03125,3.8125,2.875,3.125,2.8125,2.4375,3.5625,3.375,3.625,-40.84960174560547,-67.37444305419922,5,5,-8.169920349121094,-13.474888610839844,-64.64997863769531,-35.33677673339844,-12.929995727539062,-7.067355346679688,-41.20952224731445,-47.5389289855957,-8.24190444946289,-9.50778579711914,0.3599205017089844,-19.835514068603516
9,229,pilot,punctuation,0.0821495503187179,0.9840564727783204,Rocky Mountain Horse,M-5 (Michigan highway),109,False,,2.8125,3.25,2.8125,2.3125,2.625,2.6875,2.4375,3.5625,0.4375,0.625,-21.506465911865234,-61.11812973022461,3,7,-7.168821970621745,-8.731161390032087,-30.6501522064209,-45.8778076171875,-10.216717402140299,-6.553972516741071,-25.94554901123047,-47.55327224731445,-8.648516337076822,-6.7933246067592075,4.439083099365234,-13.564857482910156
