stim_idx,doc_idx,split,topic_true,topic_foreign,foreign_stim_idx,topic_in_default_explanation,error,p3_true,p3_foreign,n_tok_true,n_tok_foreign,p3_true_pt,p3_foreign_pt,p3_true_swap,p3_foreign_swap,p3_true_noinj,p3_foreign_noinj,p3_true_noinj_pt,p3_foreign_noinj_pt,p3_true_corr,p3_foreign_corr,p3_true_swap_corr,p3_foreign_swap_corr
0,391,pilot,Tropical Storm Brenda (1960),Politics of Croatia,100,False,,-35.46272277832031,-44.78202819824219,9,3,-3.940302530924479,-14.927342732747396,-64.1734848022461,-15.644479751586914,-34.351749420166016,-23.3262939453125,-3.816861046685113,-7.775431315104167,-1.1109733581542969,-21.455734252929688,-29.821735382080078,7.681814193725586
1,358,pilot,Hoover Dam,DuMont Television Network,101,False,,-14.450244903564453,-38.21002960205078,2,4,-7.225122451782227,-9.552507400512695,-26.984270095825195,-21.754222869873047,-21.037670135498047,-27.479890823364258,-10.518835067749023,-6.8699727058410645,6.587425231933594,-10.730138778686523,-5.946599960327148,5.725667953491211
2,601,pilot,Cape lobster,Sarnia,102,False,,-19.08112907409668,-23.043060302734375,2,3,-9.54056453704834,-7.681020100911458,-39.864593505859375,-16.839923858642578,-29.520832061767578,-22.0978946685791,-14.760416030883789,-7.365964889526367,10.439702987670898,-0.9451656341552734,-10.343761444091797,5.257970809936523
3,452,pilot,June 1941 uprising in eastern Herzegovina,Why Does It Hurt So Bad,103,False,,-45.60056686401367,-43.308040618896484,12,6,-3.800047238667806,-7.218006769816081,-82.71575164794922,-41.376441955566406,-59.764278411865234,-40.40462875366211,-4.980356534322103,-6.7341047922770185,14.163711547851562,-2.903411865234375,-22.951473236083984,-0.9718132019042969
4,354,pilot,Pokiri,Martin Keamy,104,False,,-32.34528350830078,-43.84767150878906,2,3,-16.17264175415039,-14.615890502929688,-36.410587310791016,-34.23883056640625,-28.05255889892578,-39.47969055175781,-14.02627944946289,-13.159896850585938,-4.292724609375,-4.36798095703125,-8.358028411865234,5.2408599853515625
5,147,pilot,Rebbie Jackson,New Year's Eve (Up All Night),105,False,,-14.084335327148438,-42.665977478027344,3,9,-4.6947784423828125,-4.740664164225261,-33.889373779296875,-41.179168701171875,-22.999818801879883,-39.57896041870117,-7.666606267293294,-4.3976622687445746,8.915483474731445,-3.087017059326172,-10.889554977416992,-1.6002082824707031
6,553,pilot,Missouri River,Brandon Minor,106,False,,-17.230632781982422,-33.5813102722168,2,2,-8.615316390991211,-16.7906551361084,-21.732681274414062,-26.15790557861328,-24.066293716430664,-32.09962463378906,-12.033146858215332,-16.04981231689453,6.835660934448242,-1.4816856384277344,2.3336124420166016,5.941719055175781
7,293,pilot,Etymology of Wicca,The Archaeology of Ritual and Magic,107,False,,-22.955564498901367,-46.95723342895508,6,7,-3.825927416483561,-6.70817620413644,-47.901126861572266,-45.855865478515625,-29.803274154663086,-41.5867805480957,-4.967212359110515,-5.9409686497279575,6.847709655761719,-5.370452880859375,-18.09785270690918,-4.269084930419922
8,42,pilot,Coldrum Long Barrow,Dangerously in Love Tour,108,False,,-38.33480453491211,-66.01729583740234,5,5,-7.666960906982422,-13.203459167480469,-64.1652603149414,-33.01879119873047,-39.43998718261719,-46.64602279663086,-7.887997436523437,-9.329204559326172,1.1051826477050781,-19.371273040771484,-24.72527313232422,13.62723159790039
9,229,pilot,Rocky Mountain Horse,M-5 (Michigan highway),109,False,,-19.59028434753418,-58.21607971191406,3,7,-6.5300947825113935,-8.316582815987724,-29.085050582885742,-42.97587966918945,-23.668474197387695,-45.19599533081055,-7.8894913991292315,-6.456570761544364,4.078189849853516,-13.020084381103516,-5.416576385498047,2.2201156616210938
10,74,pilot,"Galveston, Texas",Protein,110,False,,-8.231406211853027,-22.244535446166992,5,1,-1.6462812423706055,-22.244535446166992,-26.392784118652344,-5.7768988609313965,-20.502029418945312,-16.61141014099121,-4.100405883789063,-16.61141014099121,12.270623207092285,-5.633125305175781,-5.890754699707031,10.834511280059814
11,399,pilot,G.I. Joe: Retaliation,2013 – 14 York City F.C. season,111,False,,-23.84131622314453,-95.67369079589844,8,15,-2.9801645278930664,-6.378246053059896,-39.89714813232422,-38.80665969848633,-29.575090408325195,-63.909889221191406,-3.6968863010406494,-4.26065928141276,5.733774185180664,-31.76380157470703,-10.322057723999023,25.103229522705078
12,457,pilot,"Strand, London",2 / 4th Machine Gun Battalion (Australia),112,False,,-20.749555587768555,-102.80046844482422,3,12,-6.916518529256185,-8.566705703735352,-49.331703186035156,-51.41060256958008,-41.52161407470703,-65.68612670898438,-13.840538024902344,-5.473843892415364,20.772058486938477,-37.114341735839844,-7.810089111328125,14.275524139404297
13,117,pilot,USS Breese (DD-122),Hadji Ali,113,False,,-31.20196533203125,-49.333717346191406,10,3,-3.120196533203125,-16.44457244873047,-45.816795349121094,-30.435033798217773,-34.3990478515625,-22.453031539916992,-3.43990478515625,-7.484343846638997,3.19708251953125,-26.880685806274414,-11.417747497558594,-7.982002258300781
14,472,pilot,Bath Assembly Rooms,Christmas 1994 nor 'easter,114,False,,-21.25839614868164,-93.33454895019531,3,10,-7.086132049560547,-9.333454895019532,-58.43714904785156,-68.02790069580078,-41.610008239746094,-61.303688049316406,-13.870002746582031,-6.13036880493164,20.351612091064453,-32.030860900878906,-16.82714080810547,-6.724212646484375
15,454,pilot,Odyssey Number Five,Clocks (song),115,False,,-36.152801513671875,-36.69679260253906,3,5,-12.050933837890625,-7.339358520507813,-34.32698440551758,-30.59614372253418,-34.09052658081055,-34.40052795410156,-11.363508860270182,-6.880105590820312,-2.062274932861328,-2.2962646484375,-0.23645782470703125,3.804384231567383
16,167,pilot,Harold Innis,Trials and Tribble-ations,116,False,,-9.253039360046387,-51.608028411865234,3,6,-3.0843464533487954,-8.601338068644205,-30.602371215820312,-36.557621002197266,-21.75900650024414,-46.48721694946289,-7.253002166748047,-7.747869491577148,12.505967140197754,-5.120811462402344,-8.843364715576172,9.929595947265625
17,100,pilot,World War Z,Marauders (Star Trek: Enterprise),117,False,,-17.12742805480957,-44.59186553955078,3,9,-5.709142684936523,-4.954651726616754,-20.88034439086914,-38.88029098510742,-22.196983337402344,-43.792816162109375,-7.398994445800781,-4.865868462456597,5.069555282592773,-0.7990493774414062,1.3166389465332031,4.912525177001953
18,353,pilot,Boise National Forest,Sang Pencerah,118,False,,-24.181955337524414,-60.57781982421875,3,4,-8.060651779174805,-15.144454956054688,-44.7027473449707,-39.333717346191406,-27.748682022094727,-44.01963424682617,-9.249560674031576,-11.004908561706543,3.5667266845703125,-16.558185577392578,-16.954065322875977,4.685916900634766
19,592,pilot,"Richard Nixon presidential campaign, 1968",Mogadishu,119,False,,-35.539791107177734,-26.70105743408203,10,4,-3.5539791107177736,-6.675264358520508,-70.74446105957031,-13.332832336425781,-43.91388702392578,-21.215587615966797,-4.391388702392578,-5.303896903991699,8.374095916748047,-5.485469818115234,-26.83057403564453,7.882755279541016
20,270,pilot,Battle of Hubbardton,Chapter 1 (House of Cards),120,False,,-25.636011123657227,-46.8907470703125,4,8,-6.409002780914307,-5.8613433837890625,-45.69249725341797,-34.92053985595703,-26.220739364624023,-33.61614227294922,-6.555184841156006,-4.202017784118652,0.5847282409667969,-13.274604797363281,-19.471757888793945,-1.3043975830078125
21,459,pilot,Dave Sisler,The Stolen Eagle,121,False,,-29.24185562133789,-34.80571746826172,4,4,-7.310463905334473,-8.70142936706543,-32.84526824951172,-32.13151168823242,-29.42535972595215,-34.59684371948242,-7.356339931488037,-8.649210929870605,0.1835041046142578,-0.20887374877929688,-3.4199085235595703,2.46533203125
22,536,pilot,"George Calvert, 1st Baron Baltimore",History of Braathens SAFE (1946 – 93),122,False,,-18.75998306274414,-108.53717041015625,9,16,-2.084442562527127,-6.783573150634766,-56.86407470703125,-80.90836334228516,-32.24300765991211,-100.46434020996094,-3.582556406656901,-6.279021263122559,13.483024597167969,-8.072830200195312,-24.62106704711914,19.55597686767578
23,83,pilot,Hemmema,Loverboy (Mariah Carey song),123,False,,-40.20854187011719,-72.41484832763672,3,8,-13.402847290039062,-9.05185604095459,-45.543235778808594,-40.6118278503418,-35.33676528930664,-43.118770599365234,-11.778921763102213,-5.389846324920654,-4.871776580810547,-29.296077728271484,-10.206470489501953,2.5069427490234375
24,524,pilot,Far Away Places (Mad Men),Stefan Wever,124,False,,-50.86491775512695,-32.94615936279297,7,3,-7.266416822160993,-10.98205312093099,-68.07595825195312,-37.2244873046875,-48.22968673706055,-28.19668960571289,-6.889955248151507,-9.39889653523763,-2.6352310180664062,-4.749469757080078,-19.846271514892578,-9.02779769897461
25,18,pilot,John Cullen,Corpus Christi Bay,125,False,,-18.376949310302734,-26.829986572265625,3,4,-6.125649770100911,-6.707496643066406,-23.659563064575195,-20.431772232055664,-24.264373779296875,-26.144458770751953,-8.088124593098959,-6.536114692687988,5.887424468994141,-0.6855278015136719,0.6048107147216797,5.712686538696289
26,134,pilot,Mega Man & Bass,1998 National League Wild Card tie-breaker game,126,False,,-29.4291934967041,-74.11164093017578,4,13,-7.357298374176025,-5.700895456167368,-59.48514938354492,-57.16828155517578,-39.776771545410156,-61.04438400268555,-9.944192886352539,-4.695721846360427,10.347578048706055,-13.067256927490234,-19.708377838134766,3.8761024475097656
27,265,pilot,Rio de Janeiro bid for the 2016 Summer Olympics,The Good Terrorist,127,False,,-29.18012237548828,-41.45573806762695,13,4,-2.2446247981144833,-10.363934516906738,-65.78535461425781,-32.71624755859375,-40.54535675048828,-28.692703247070312,-3.1188735961914062,-7.173175811767578,11.365234375,-12.76303482055664,-25.23999786376953,-4.0235443115234375
28,109,pilot,The Importance of Being Earnest,Arikamedu,128,False,,-28.191940307617188,-40.5274543762207,6,4,-4.698656717936198,-10.131863594055176,-53.89939498901367,-18.87845802307129,-26.425132751464844,-24.86334800720215,-4.404188791910808,-6.215837001800537,-1.7668075561523438,-15.664106369018555,-27.474262237548828,5.984889984130859
29,111,pilot,HMS Boreas (H77),"West Hendford Cricket Ground, Yeovil",129,False,,-39.30178451538086,-73.71868133544922,9,9,-4.366864946153429,-8.19096459282769,-55.2052001953125,-66.95608520507812,-40.774654388427734,-70.57127380371094,-4.530517154269749,-7.8412526448567705,1.472869873046875,-3.1474075317382812,-14.430545806884766,3.6151885986328125
30,126,pilot,St Nazaire Raid,Johnson – Corey – Chaykovsky reaction,130,False,,-32.57884979248047,-101.7216796875,4,9,-8.144712448120117,-11.302408854166666,-45.04773712158203,-53.1196403503418,-36.18268585205078,-91.72268676757812,-9.045671463012695,-10.191409640842014,3.6038360595703125,-9.998992919921875,-8.86505126953125,38.60304641723633
31,442,pilot,Ouw Peh Tjoa,Hydnellum peckii,131,False,,-66.76045989990234,-56.59340286254883,7,7,-9.537208557128906,-8.084771837506976,-60.24809646606445,-36.9344482421875,-53.68250274658203,-37.116355895996094,-7.668928963797433,-5.302336556570871,-13.077957153320312,-19.477046966552734,-6.565593719482422,0.18190765380859375
32,545,pilot,Principe Amedeo-class ironclad,The One I Love (manga),132,False,,-56.11007308959961,-84.1042251586914,10,8,-5.611007308959961,-10.513028144836426,-70.58030700683594,-41.12101364135742,-57.10253143310547,-42.10841751098633,-5.710253143310547,-5.263552188873291,0.9924583435058594,-41.99580764770508,-13.477775573730469,0.9874038696289062
33,168,pilot,Hurricane Lorenzo (2007),Otra Nota,133,False,,-26.733144760131836,-40.47245788574219,8,4,-3.3416430950164795,-10.118114471435547,-42.90594482421875,-36.92416763305664,-37.75446701049805,-31.45607566833496,-4.719308376312256,-7.86401891708374,11.021322250366211,-9.016382217407227,-5.151477813720703,-5.46809196472168
34,152,pilot,Weather buoy,"Papal conclave, 1769",134,False,,-18.49049949645996,-78.1365966796875,2,10,-9.24524974822998,-7.81365966796875,-32.033634185791016,-45.862152099609375,-28.68477439880371,-48.92256164550781,-14.342387199401855,-4.892256164550782,10.19427490234375,-29.214035034179688,-3.3488597869873047,3.0604095458984375
35,228,pilot,HMS Hostile (H55),Devin Townsend,135,False,,-34.43452835083008,-33.68572998046875,8,2,-4.30431604385376,-16.842864990234375,-64.21439361572266,-17.583345413208008,-42.70735168457031,-21.651538848876953,-5.338418960571289,-10.825769424438477,8.272823333740234,-12.034191131591797,-21.507041931152344,4.068193435668945
36,64,pilot,"Saint Leonard Catholic Church (Madison, Nebraska)",Hurricane Omar (2008),136,False,,-62.128395080566406,-49.4898681640625,10,8,-6.212839508056641,-6.1862335205078125,-65.8713607788086,-28.964771270751953,-57.92073059082031,-29.03036117553711,-5.792073059082031,-3.6287951469421387,-4.207664489746094,-20.45950698852539,-7.950630187988281,0.06558990478515625
37,171,pilot,First Battle of Maryang San,"Waterfall Gully, South Australia",137,False,,-38.626014709472656,-57.33920669555664,6,7,-6.437669118245442,-8.191315242222377,-61.375431060791016,-43.9156494140625,-39.72327423095703,-49.08938980102539,-6.620545705159505,-7.0127699715750555,1.097259521484375,-8.24981689453125,-21.652156829833984,5.173740386962891
38,244,pilot,"No result, Pts",Laurence Olivier,138,False,,-52.14221954345703,-27.879047393798828,5,3,-10.428443908691406,-9.293015797932943,-60.50506591796875,-16.093706130981445,-51.12892532348633,-19.715410232543945,-10.225785064697266,-6.5718034108479815,-1.0132942199707031,-8.163637161254883,-9.376140594482422,3.6217041015625
39,51,pilot,Grammy Award for Best Concept Music Video,Corythosaurus,139,False,,-38.903560638427734,-32.92510986328125,7,4,-5.557651519775391,-8.231277465820312,-75.74177551269531,-15.111259460449219,-44.34577941894531,-23.790302276611328,-6.335111345563616,-5.947575569152832,5.442218780517578,-9.134807586669922,-31.39599609375,8.67904281616211
40,598,eval,Europium,The Litigators,140,True,,-5.661622524261475,-44.42357635498047,2,3,-2.8308112621307373,-14.80785878499349,-29.14783477783203,-32.8181037902832,-20.73215103149414,-31.45474624633789,-10.36607551574707,-10.484915415445963,15.070528507232666,-12.968830108642578,-8.41568374633789,-1.3633575439453125
41,351,eval,Species (film),Sclerodermatineae,141,False,,-30.669858932495117,-48.74793243408203,4,8,-7.667464733123779,-6.093491554260254,-34.28841781616211,-23.64341926574707,-31.44581413269043,-40.563819885253906,-7.861453533172607,-5.070477485656738,0.7759552001953125,-8.184112548828125,-2.8426036834716797,16.920400619506836
42,377,eval,Blackwyche,Norman Finkelstein,142,False,,-39.247745513916016,-35.03396224975586,3,4,-13.082581837972006,-8.758490562438965,-44.57049560546875,-15.741653442382812,-35.08897399902344,-18.328182220458984,-11.696324666341146,-4.582045555114746,-4.158771514892578,-16.705780029296875,-9.481521606445312,2.586528778076172
43,512,eval,Liu Kang,Frederick Reines,143,False,,-22.423988342285156,-35.849029541015625,2,3,-11.211994171142578,-11.949676513671875,-28.327852249145508,-18.42330551147461,-19.074420928955078,-24.679086685180664,-9.537210464477539,-8.226362228393555,-3.349567413330078,-11.169942855834961,-9.25343132019043,6.255781173706055
