pair_id,template_id,noun,entity_a,entity_b,error,p1_n_tok_a,p1_n_tok_b,base_p1_lp_a_given_ha,base_p1_lp_b_given_ha,base_p1_lp_a_given_hb,base_p1_lp_b_given_hb,base_p1_lp_a_given_h0,base_p1_lp_b_given_h0,base_p1_D_a,base_p1_D_b,base_p1_D_0,av_p1_D_a,av_p1_D_b,av_p1_D_0,p2_n_tok_a,p2_n_tok_b,base_p2_lp_a_given_ha,base_p2_lp_b_given_ha,base_p2_lp_a_given_hb,base_p2_lp_b_given_hb,base_p2_lp_a_given_h0,base_p2_lp_b_given_h0,base_p2_D_a,base_p2_D_b,base_p2_D_0,av_p2_D_a,av_p2_D_b,av_p2_D_0
0,0,city,Paris,Lyon,,1,1,-10.550503730773926,-17.06612777709961,-10.52454948425293,-16.88392448425293,-5.80625057220459,-13.99375057220459,6.515624046325684,6.359375,8.1875,11.171875,8.71875,4.140625,1,1,-14.457257270812988,-17.894756317138672,-14.268701553344727,-17.737451553344727,-15.671643257141113,-16.640392303466797,3.4374990463256836,3.46875,0.9687490463256836,9.34375,6.265625,4.45703125
1,0,city,Rome,Milan,,1,1,-13.335565567016602,-18.4761905670166,-13.248027801513672,-18.373027801513672,-9.11875057220459,-15.19687557220459,5.140625,5.125,6.078125,3.25,2.999999523162842,2.953125,1,1,-17.45587921142578,-19.29962921142578,-17.486886978149414,-19.299386978149414,-14.827893257141113,-20.851329803466797,1.84375,1.8125,6.023436546325684,4.40625,3.375,2.9921875
2,0,city,Madrid,Lisbon,,1,1,-13.042856216430664,-12.855356216430664,-13.08409309387207,-12.83409309387207,-11.80625057220459,-11.90000057220459,-0.1875,-0.25,0.09375,0.9375,-0.4375,-1.1796875,1,1,-15.895306587219238,-18.145305633544922,-15.768184661865234,-18.049434661865234,-17.921642303466797,-20.613048553466797,2.2499990463256836,2.28125,2.69140625,5.4375,2.71875,0.53125
3,0,city,Berlin,Munich,,1,1,-9.155494689941406,-13.874244689941406,-9.35852336883545,-13.98352336883545,-8.30625057220459,-11.74375057220459,4.71875,4.625,3.4375,4.1875,3.375,1.46875,1,1,-16.017364501953125,-18.923614501953125,-16.14351463317871,-19.04976463317871,-17.452892303466797,-19.296642303466797,2.90625,2.90625,1.84375,2.125,0.8125,0.578125
4,1,ingredient,flour,sugar,,1,1,-12.426979064941406,-12.551979064941406,-11.711551666259766,-12.617801666259766,-15.110543251037598,-10.032418251037598,0.125,0.90625,-5.078125,-2.46875,-3.5312509536743164,-0.97265625,1,1,-15.365745544433594,-12.928245544433594,-15.711329460144043,-13.523829460144043,-18.524181365966797,-13.469493865966797,-2.4375,-2.1875,-5.0546875,0.59375,-1.34375,-1.56640625
5,1,ingredient,rice,milk,,1,1,-11.591793060302734,-11.841793060302734,-11.56963062286377,-11.44463062286377,-5.938668251037598,-13.094918251037598,0.25,-0.125,7.15625,0.1250009536743164,-2.8281240463256836,0.2109375,1,1,-16.26690673828125,-13.89190673828125,-16.141620635986328,-13.204121589660645,-14.813243865966797,-19.323009490966797,-2.375,-2.9374990463256836,4.509765625,-1.875,-5.9375,-1.796875
6,1,ingredient,butter,cream,,1,1,-14.401533126831055,-18.995283126831055,-14.246668815612793,-18.84041976928711,-15.860543251037598,-17.212106704711914,4.59375,4.593750953674316,1.3515634536743164,2.0078125,1.640625,0.7060546875,1,1,-13.841968536376953,-15.466968536376953,-13.833585739135742,-15.646085739135742,-19.178478240966797,-18.039806365966797,1.625,1.8125,-1.138671875,0.34375,-0.03125,0.4765625
7,1,ingredient,water,wine,,1,1,-10.433317184448242,-15.245817184448242,-11.200506210327148,-15.544256210327148,-8.626168251037598,-13.313668251037598,4.8125,4.34375,4.6875,1.2187490463256836,-1.8125,0.359375,1,1,-13.08322525024414,-16.14572525024414,-14.324762344360352,-16.76226234436035,-16.141368865966797,-15.344493865966797,3.0625,2.4375,-0.796875,5.375,0.59375,-0.875
8,2,time,Monday,Friday,,1,1,-12.296259880065918,-13.577509880065918,-12.652399063110352,-13.871149063110352,-12.826218605041504,-15.388718605041504,1.28125,1.21875,2.5625,0.6875,0.6875,-1.390625,1,1,-14.742509841918945,-15.773759841918945,-14.863375663757324,-15.910250663757324,-16.36741828918457,-18.92991828918457,1.03125,1.046875,2.5625,0.4375,0.375,-1.0859375
9,2,time,Tuesday,Thursday,,1,1,-11.244317054748535,-14.463067054748535,-11.01390266418457,-14.23265266418457,-12.513718605041504,-15.638718605041504,3.21875,3.21875,3.125,0.5,0.5,0.4375,1,1,-15.831305503845215,-17.71021270751953,-15.828712463378906,-17.652931213378906,-16.96898078918457,-18.32390022277832,1.8789072036743164,1.82421875,1.35491943359375,0.6875,0.75,-0.0078125
