stim_idx,split,text_true,text_foreign,text_true_noinj,text_foreign_noinj,text_prefix_tokens
0,pilot,-6.219522476196289,-33.95783615112305,-42.63676834106445,-23.067529678344727,438
1,pilot,-1.7770918607711792,-28.248685836791992,-13.585074424743652,-20.83878517150879,270
2,pilot,-5.636440753936768,-32.803260803222656,-24.48439598083496,-15.534737586975098,169
3,pilot,-7.7564697265625,-43.561485290527344,-44.51813888549805,-28.393770217895508,54
4,pilot,-7.032659530639648,-46.30040740966797,-22.99979591369629,-36.021034240722656,103
5,pilot,-0.22918805480003357,-38.592655181884766,-19.917375564575195,-41.184356689453125,339
6,pilot,-5.6603169441223145,-33.91086196899414,-17.305763244628906,-23.521764755249023,266
7,pilot,-12.203598022460938,-44.78636932373047,-29.150863647460938,-27.588226318359375,498
8,pilot,-1.9314217567443848,-45.22574996948242,-25.12731170654297,-33.49750900268555,330
9,pilot,-9.792581558227539,-64.81007385253906,-20.891353607177734,-37.76711654663086,294
10,pilot,-3.2385365962982178,-19.049606323242188,-14.868488311767578,-13.006309509277344,154
11,pilot,-2.1920385360717773,-67.86898040771484,-18.769935607910156,-36.78007507324219,349
12,pilot,-7.383345127105713,-63.247802734375,-27.934829711914062,-58.61112976074219,212
13,pilot,-5.8421101570129395,-31.0515079498291,-35.1585693359375,-20.183454513549805,291
14,pilot,-3.7047064304351807,-62.42827224731445,-22.926651000976562,-56.19089889526367,396
15,pilot,-4.457292556762695,-27.622882843017578,-25.954639434814453,-34.42289733886719,436
16,pilot,-2.160736560821533,-34.639625549316406,-18.31005859375,-28.78400421142578,61
17,pilot,-5.188191890716553,-48.935546875,-18.829090118408203,-34.340980529785156,27
18,pilot,-1.0073885917663574,-47.16210174560547,-18.299102783203125,-28.285903930664062,56
19,pilot,-12.656286239624023,-25.040565490722656,-25.142568588256836,-16.125320434570312,255
20,pilot,-6.777293682098389,-38.50656509399414,-24.421260833740234,-32.38581466674805,217
21,pilot,-1.9028034210205078,-34.330413818359375,-19.486591339111328,-28.556081771850586,19
22,pilot,-0.32975828647613525,-78.03274536132812,-20.165485382080078,-69.57854461669922,21
23,pilot,-3.6585898399353027,-53.307498931884766,-25.50543212890625,-41.41037368774414,277
24,pilot,-16.902202606201172,-33.28471374511719,-45.8410758972168,-29.69756507873535,144
25,pilot,-5.5799560546875,-31.13971710205078,-17.323226928710938,-21.766647338867188,395
26,pilot,-3.766676187515259,-55.66718292236328,-22.694496154785156,-33.01644515991211,245
27,pilot,-7.00798225402832,-37.44220733642578,-23.844894409179688,-23.153533935546875,416
28,pilot,-2.5137126445770264,-34.70165252685547,-19.2912654876709,-20.34091567993164,205
29,pilot,-9.182639122009277,-65.91950988769531,-37.26290512084961,-57.994529724121094,488
30,pilot,-5.8296332359313965,-77.2752685546875,-28.462772369384766,-60.8919792175293,433
31,pilot,-5.278135299682617,-41.165283203125,-43.652320861816406,-26.230581283569336,366
32,pilot,-5.64497709274292,-55.19240951538086,-52.727420806884766,-35.900001525878906,451
33,pilot,-9.303367614746094,-38.49808120727539,-39.75157928466797,-25.538957595825195,304
34,pilot,-11.542020797729492,-42.241512298583984,-27.06832504272461,-27.603166580200195,436
35,pilot,-5.207566261291504,-30.468000411987305,-40.71648406982422,-17.97841453552246,203
36,pilot,-8.38957405090332,-30.092073440551758,-47.797672271728516,-24.79054069519043,226
37,pilot,-7.505580902099609,-38.64109420776367,-36.604434967041016,-30.004985809326172,373
38,pilot,-18.301252365112305,-32.144107818603516,-43.94010543823242,-17.50387191772461,53
39,pilot,-6.986054420471191,-33.75583267211914,-29.074251174926758,-17.554325103759766,280
40,eval,-2.9810283184051514,-42.63935470581055,-18.492795944213867,-20.57884979248047,226
41,eval,-11.691275596618652,-36.976444244384766,-32.34607696533203,-31.71902084350586,143
42,eval,-3.205542802810669,-31.105436325073242,-35.880027770996094,-17.984277725219727,373
