stim_idx,doc_idx,split,topic_true,topic_foreign,foreign_stim_idx,error,p3_n_tok_true,p3_n_tok_foreign,base_p3_true,base_p3_foreign,base_p3_true_swap,base_p3_foreign_swap,base_p3_true_noinj,base_p3_foreign_noinj,base_p3_true_pt,base_p3_foreign_pt,cc_n_tok_true,cc_n_tok_foreign,base_cc_true,base_cc_foreign,base_cc_true_swap,base_cc_foreign_swap,base_cc_true_noinj,base_cc_foreign_noinj,base_cc_true_pt,base_cc_foreign_pt,av_p3_true,av_p3_foreign,av_p3_true_swap,av_p3_foreign_swap,av_p3_true_noinj,av_p3_foreign_noinj,av_cc_true,av_cc_foreign,av_cc_true_swap,av_cc_foreign_swap,av_cc_true_noinj,av_cc_foreign_noinj,text_true,text_true_noinj,text_n_tok_true,text_foreign,text_foreign_noinj,text_n_tok_foreign,text_prefix_tokens
0,391,pilot,Tropical Storm Brenda (1960),Politics of Croatia,100,,9,3,-61.67863082885742,-47.07590103149414,-58.08205032348633,-45.748008728027344,-56.21100997924805,-44.21009826660156,-6.85318120320638,-15.691967010498047,9,3,-65.51874542236328,-53.438995361328125,-62.50101852416992,-52.06165313720703,-58.93115997314453,-51.10380935668945,-7.279860602484809,-17.812998453776043,-35.46272277832031,-44.78202819824219,-64.1734848022461,-15.644479751586914,-34.351749420166016,-23.3262939453125,-38.01298904418945,-44.33456802368164,-61.806976318359375,-15.687050819396973,-35.465335845947266,-25.977642059326172,-6.219522476196289,-42.63676834106445,9,-33.95783615112305,-23.067529678344727,3,438
1,358,pilot,Hoover Dam,DuMont Television Network,101,,2,4,-26.352760314941406,-35.96444320678711,-24.82982635498047,-34.822471618652344,-22.6522216796875,-32.00077819824219,-13.176380157470703,-8.991110801696777,2,4,-27.494373321533203,-39.394100189208984,-26.726226806640625,-41.19492721557617,-25.76125144958496,-37.945648193359375,-13.747186660766602,-9.848525047302246,-14.450244903564451,-38.21002960205078,-26.984270095825195,-21.754222869873047,-21.037670135498047,-27.479890823364254,-17.235231399536133,-38.76324462890625,-28.821319580078125,-26.08094024658203,-22.599742889404297,-28.382564544677734,-1.7770918607711792,-13.585074424743652,2,-28.248685836791992,-20.83878517150879,4,270
2,601,pilot,Cape lobster,Sarnia,102,,2,3,-37.157135009765625,-36.01831817626953,-37.92664337158203,-41.379539489746094,-37.068946838378906,-40.253944396972656,-18.578567504882812,-12.00610605875651,2,3,-39.217933654785156,-42.04785919189453,-42.158565521240234,-49.17633056640625,-41.85650634765625,-54.54116439819336,-19.608966827392578,-14.015953063964844,-19.08112907409668,-23.043060302734375,-39.864593505859375,-16.839923858642578,-29.520832061767575,-22.0978946685791,-22.981374740600582,-23.839263916015625,-40.889617919921875,-19.207536697387695,-30.71691513061523,-23.46190643310547,-5.636440753936768,-24.48439598083496,2,-32.803260803222656,-15.534737586975098,3,169
3,452,pilot,June 1941 uprising in eastern Herzegovina,Why Does It Hurt So Bad,103,,12,6,-60.174415588378906,-48.474849700927734,-60.90013122558594,-56.2756462097168,-55.968814849853516,-44.506004333496094,-5.014534632364909,-8.079141616821289,12,6,-64.6495361328125,-53.45138168334961,-67.28559875488281,-56.982337951660156,-60.05417251586914,-52.912384033203125,-5.387461344401042,-8.908563613891602,-45.60056686401367,-43.30804061889648,-82.71575164794922,-41.376441955566406,-59.764278411865234,-40.40462875366211,-49.0732536315918,-46.333221435546875,-84.05204010009766,-44.15190505981445,-62.063358306884766,-43.881927490234375,-7.7564697265625,-44.51813888549805,12,-43.561485290527344,-28.393770217895508,6,54
4,354,pilot,Pokiri,Martin Keamy,104,,2,3,-40.40987014770508,-48.649169921875,-40.2485237121582,-51.76555633544922,-39.54576873779297,-52.51911163330078,-20.20493507385254,-16.216389973958332,2,3,-44.94036865234375,-53.165863037109375,-42.86164474487305,-54.77978515625,-38.897552490234375,-52.113304138183594,-22.470184326171875,-17.721954345703125,-32.34528350830078,-43.84767150878906,-36.410587310791016,-34.23883056640625,-28.05255889892578,-39.47969055175781,-32.91230773925781,-43.91168975830078,-37.78382873535156,-35.86275863647461,-30.253955841064453,-40.373260498046875,-7.032659530639648,-22.99979591369629,2,-46.30040740966797,-36.021034240722656,3,103
5,147,pilot,Rebbie Jackson,New Year's Eve (Up All Night),105,,3,9,-42.031280517578125,-56.13929748535156,-35.825077056884766,-67.25314331054688,-35.14889144897461,-57.18357467651367,-14.010426839192709,-6.237699720594618,3,9,-46.7980842590332,-57.93217086791992,-40.16542434692383,-72.59284973144531,-37.612159729003906,-65.81169128417969,-15.599361419677734,-6.4369078742133246,-14.084335327148438,-42.665977478027344,-33.889373779296875,-41.179168701171875,-22.999818801879883,-39.57896041870117,-14.9987154006958,-45.2397346496582,-33.51731491088867,-43.07618713378906,-24.058578491210938,-41.47301483154297,-0.22918805480003357,-19.917375564575195,3,-38.592655181884766,-41.184356689453125,9,339
6,553,pilot,Missouri River,Brandon Minor,106,,2,2,-25.903553009033203,-32.30171203613281,-32.640380859375,-33.05778121948242,-31.12302017211914,-33.47723388671875,-12.951776504516602,-16.150856018066406,2,2,-30.328155517578125,-37.97816467285156,-35.268558502197266,-36.97372817993164,-36.62782669067383,-38.876834869384766,-15.164077758789062,-18.98908233642578,-17.230632781982422,-33.5813102722168,-21.732681274414062,-26.15790557861328,-24.066293716430664,-32.09962463378906,-20.48635482788086,-36.16168594360352,-22.704442977905273,-28.97002220153809,-26.211151123046875,-33.67620086669922,-5.6603169441223145,-17.305763244628906,2,-33.91086196899414,-23.521764755249023,2,266
7,293,pilot,Etymology of Wicca,The Archaeology of Ritual and Magic,107,,6,7,-49.8574333190918,-45.84326171875,-54.379032135009766,-49.560546875,-50.278724670410156,-43.785377502441406,-8.309572219848633,-6.549037388392857,6,7,-57.708946228027344,-49.911556243896484,-62.21875762939453,-54.23381042480469,-55.01383972167969,-50.29507827758789,-9.618157704671225,-7.130222320556641,-22.955564498901367,-46.95723342895508,-47.901126861572266,-45.855865478515625,-29.80327415466309,-41.5867805480957,-23.62423515319824,-50.6392936706543,-51.438453674316406,-48.67316436767578,-30.533296585083008,-43.17546081542969,-12.203598022460938,-29.150863647460938,6,-44.78636932373047,-27.588226318359375,7,498
8,42,pilot,Coldrum Long Barrow,Dangerously in Love Tour,108,,5,5,-51.17027282714844,-55.22270202636719,-50.80625915527344,-57.6024169921875,-45.1086540222168,-55.19189453125,-10.234054565429688,-11.044540405273438,5,5,-53.54598617553711,-58.2525634765625,-54.78507614135742,-61.00741958618164,-49.477806091308594,-62.37220001220703,-10.709197235107421,-11.6505126953125,-38.33480453491211,-66.01729583740234,-64.1652603149414,-33.01879119873047,-39.43998718261719,-46.64602279663086,-40.84960174560547,-67.37444305419922,-64.64997863769531,-35.33677673339844,-41.20952224731445,-47.5389289855957,-1.9314217567443848,-25.12731170654297,5,-45.22574996948242,-33.49750900268555,5,330
9,229,pilot,Rocky Mountain Horse,M-5 (Michigan highway),109,,3,7,-34.84453582763672,-66.3252944946289,-37.95816421508789,-69.32022857666016,-33.67387390136719,-61.658180236816406,-11.614845275878906,-9.475042070661273,3,7,-43.46660232543945,-77.54009246826172,-48.47382354736328,-80.55069732666016,-43.26361083984375,-72.04979705810547,-14.48886744181315,-11.077156066894531,-19.59028434753418,-58.21607971191406,-29.085050582885746,-42.97587966918945,-23.668474197387695,-45.19599533081055,-21.50646591186523,-61.11812973022461,-30.6501522064209,-45.8778076171875,-25.94554901123047,-47.55327224731445,-9.792581558227539,-20.891353607177734,3,-64.81007385253906,-37.76711654663086,7,294
