stim_idx,layer,topic_true,topic_foreign,foreign_stim_idx,true_noinj,foreign_noinj,t2a_true,t2a_foreign,error,n_tok_true,n_tok_foreign,true,foreign,true_swap,foreign_swap,true_corr,foreign_corr
40,16,Europium,The Litigators,140,-20.73215103149414,-31.45474624633789,-5.661622524261475,-44.42357635498047,,2,3,-9.191283226013184,-43.944480895996094,-31.057369232177734,-28.263587951660156,11.540867805480957,-12.489734649658203
40,20,Europium,The Litigators,140,-20.73215103149414,-31.45474624633789,-5.661622524261475,-44.42357635498047,,2,3,-5.661622524261475,-44.42357635498047,-29.14783477783203,-32.8181037902832,15.070528507232666,-12.968830108642578
40,24,Europium,The Litigators,140,-20.73215103149414,-31.45474624633789,-5.661622524261475,-44.42357635498047,,2,3,-14.444476127624512,-39.52362060546875,-30.33633041381836,-31.777400970458984,6.287674903869629,-8.06887435913086
40,27,Europium,The Litigators,140,-20.73215103149414,-31.45474624633789,-5.661622524261475,-44.42357635498047,,2,3,-20.98611831665039,-42.88307189941406,-19.744279861450195,-24.870952606201172,-0.25396728515625,-11.428325653076172
41,16,Species (film),Sclerodermatineae,141,-31.44581413269043,-40.563819885253906,-30.669858932495117,-48.74793243408203,,4,8,-34.795021057128906,-46.53003692626953,-32.397212982177734,-30.109893798828125,-3.3492069244384766,-5.966217041015625
41,20,Species (film),Sclerodermatineae,141,-31.44581413269043,-40.563819885253906,-30.669858932495117,-48.74793243408203,,4,8,-30.669858932495117,-48.74793243408203,-34.28841781616211,-23.64341926574707,0.7759552001953125,-8.184112548828125
41,24,Species (film),Sclerodermatineae,141,-31.44581413269043,-40.563819885253906,-30.669858932495117,-48.74793243408203,,4,8,-30.506975173950195,-49.728023529052734,-31.6544132232666,-26.195972442626953,0.9388389587402344,-9.164203643798828
41,27,Species (film),Sclerodermatineae,141,-31.44581413269043,-40.563819885253906,-30.669858932495117,-48.74793243408203,,4,8,-26.642759323120117,-53.83515167236328,-39.247379302978516,-44.6134147644043,4.8030548095703125,-13.271331787109375
42,16,Blackwyche,Norman Finkelstein,142,-35.08897399902344,-18.328182220458984,-39.247745513916016,-35.03396224975586,,3,4,-37.650146484375,-32.7109489440918,-37.764976501464844,-12.552275657653809,-2.5611724853515625,-14.382766723632812
42,20,Blackwyche,Norman Finkelstein,142,-35.08897399902344,-18.328182220458984,-39.247745513916016,-35.03396224975586,,3,4,-39.247745513916016,-35.03396224975586,-44.57049560546875,-15.741653442382812,-4.158771514892578,-16.705780029296875
42,24,Blackwyche,Norman Finkelstein,142,-35.08897399902344,-18.328182220458984,-39.247745513916016,-35.03396224975586,,3,4,-42.16127395629883,-39.453800201416016,-44.17558288574219,-14.156813621520996,-7.072299957275391,-21.12561798095703
42,27,Blackwyche,Norman Finkelstein,142,-35.08897399902344,-18.328182220458984,-39.247745513916016,-35.03396224975586,,3,4,-36.07341003417969,-35.52287673950195,-44.036136627197266,-26.149730682373047,-0.98443603515625,-17.19469451904297
43,16,Liu Kang,Frederick Reines,143,-19.074420928955078,-24.679086685180664,-22.423988342285156,-35.849029541015625,,2,3,-22.6175537109375,-36.499820709228516,-28.223052978515625,-15.479639053344727,-3.543132781982422,-11.820734024047852
43,20,Liu Kang,Frederick Reines,143,-19.074420928955078,-24.679086685180664,-22.423988342285156,-35.849029541015625,,2,3,-22.423988342285156,-35.849029541015625,-28.327852249145508,-18.42330551147461,-3.349567413330078,-11.169942855834961
43,24,Liu Kang,Frederick Reines,143,-19.074420928955078,-24.679086685180664,-22.423988342285156,-35.849029541015625,,2,3,-22.544464111328125,-33.69109344482422,-31.953411102294922,-21.750442504882812,-3.470043182373047,-9.012006759643555
43,27,Liu Kang,Frederick Reines,143,-19.074420928955078,-24.679086685180664,-22.423988342285156,-35.849029541015625,,2,3,-22.040630340576172,-36.12553024291992,-21.404090881347656,-20.760103225708008,-2.9662094116210938,-11.446443557739258
44,16,Monty Can 't Buy Me Love,Mycena galericulata,144,-49.727256774902344,-26.409997940063477,-55.40260314941406,-45.93470764160156,,8,7,-50.36565017700195,-39.355316162109375,-54.51233673095703,-21.44479751586914,-0.6383934020996094,-12.945318222045898
44,20,Monty Can 't Buy Me Love,Mycena galericulata,144,-49.727256774902344,-26.409997940063477,-55.40260314941406,-45.93470764160156,,8,7,-55.40260314941406,-45.93470764160156,-48.96571731567383,-20.419036865234375,-5.675346374511719,-19.524709701538086
44,24,Monty Can 't Buy Me Love,Mycena galericulata,144,-49.727256774902344,-26.409997940063477,-55.40260314941406,-45.93470764160156,,8,7,-51.173824310302734,-50.35576629638672,-63.15796661376953,-25.8980770111084,-1.4465675354003906,-23.945768356323242
44,27,Monty Can 't Buy Me Love,Mycena galericulata,144,-49.727256774902344,-26.409997940063477,-55.40260314941406,-45.93470764160156,,8,7,-61.429283142089844,-51.96703338623047,-42.20820236206055,-30.38498878479004,-11.7020263671875,-25.557035446166992
45,16,Truth in Numbers?,Tropical Storm Abby (1964),145,-35.90852737426758,-34.420013427734375,-41.03227233886719,-59.61297225952149,,4,9,-42.89079666137695,-61.709678649902344,-48.4325065612793,-37.17361068725586,-6.982269287109375,-27.28966522216797
45,20,Truth in Numbers?,Tropical Storm Abby (1964),145,-35.90852737426758,-34.420013427734375,-41.03227233886719,-59.61297225952149,,4,9,-41.03227233886719,-59.612972259521484,-51.49983596801758,-40.467689514160156,-5.123744964599609,-25.19295883178711
45,24,Truth in Numbers?,Tropical Storm Abby (1964),145,-35.90852737426758,-34.420013427734375,-41.03227233886719,-59.61297225952149,,4,9,-42.494998931884766,-65.458251953125,-45.38385009765625,-53.89168930053711,-6.5864715576171875,-31.038238525390625
