stim_idx,layer,parse_ok,cjk,error,n_words,quoted_token_ok,n_expecting_cands,expect_hit,expect_hit_shuffled,jaccard_vs_L20,cos_AR_h_l,cos_AR_h20,cos_h_l_h20
0,16,True,False,,105,False,2,False,False,0.39603960396039606,0.7296094708456379,0.8688424770219908,0.8137484069199669
0,27,False,False,,73,False,0,False,False,0.14678899082568808,0.09773562320028517,0.21888354977815358,0.15808647586389518
0,20,True,False,,102,False,2,False,False,1.0,0.9037843794874333,0.9037843794874333,1.0000000000000002
1,16,True,False,,99,False,3,True,False,0.4567901234567901,0.676850963622789,0.8364923227507105,0.6963607114161167
1,27,True,False,,96,False,2,False,False,0.30927835051546393,0.20572621320380194,0.4686937320881789,0.3373270697070709
1,20,True,False,,103,False,3,True,False,1.0,0.8197721761736144,0.8197721761736144,0.9999999999999999
2,16,True,False,,90,False,3,False,False,0.41304347826086957,0.8216013866414564,0.9518305153616735,0.8578290782651189
2,27,True,False,,101,False,0,False,False,0.17391304347826086,0.10356519886196172,0.44382497521319314,0.11445363586674198
2,20,True,False,,99,False,0,False,False,1.0,0.9551085174545655,0.9551085174545655,1.0
3,16,True,False,,78,False,0,False,False,0.4861111111111111,0.7221185525731956,0.8734141444762804,0.790191134124857
3,27,True,False,,96,False,4,False,False,0.14414414414414414,0.07983940483920517,0.3349552229005615,0.1650456199602227
3,20,True,False,,80,False,3,True,False,1.0,0.8738534404539006,0.8738534404539006,0.9999999999999999
4,16,True,False,,95,True,3,False,False,0.38636363636363635,0.8204654324626065,0.9345176107878422,0.8476187253233614
4,27,True,False,,89,False,0,False,False,0.18627450980392157,0.14141638749300436,0.506465485539568,0.17096061520311306
4,20,True,False,,93,True,3,False,False,1.0,0.9391552864990333,0.9391552864990333,0.9999999999999999
5,16,True,False,,104,False,3,False,False,0.37894736842105264,0.7949654967017088,0.9032683134712701,0.8051038508033764
5,27,False,False,,68,False,0,False,False,0.16831683168316833,0.09424915451217145,0.2446363701941625,0.1540369028057128
